Car,Price,Time1,Time2,MaxSpeed,Brake,MPG,Domestic
Acura Integra GS-R,20015,7,15.6,133,185,25,0
Acura Integra LS,18560,7.5,15.9,125,189,25,0
Acura NSX-T,86642,5.2,13.8,162,173,18,0
AM General Hummer,71760,18.1,21.2,83,253,10,1
Audi A6 Quattro,36802,8.3,16.5,127,191,18,0
Audi Cabriolet,40960,9.7,17.2,126,189,18,0
BMW 318ti,22770,7.8,16.1,116,175,22,0
BMW 325i,36015,7.7,16,127,182,20,0
BMW 540i Six-speed,54044,5.7,14.3,129,186,14,0
BMW 740i,66837,8.4,16.6,127,181,16,0
BMW 840Ci,74790,7.1,15.5,155,170,15,0
BMW 850CSi,108395,5.3,13.9,158,167,12,0
BMW M3,38782,5.3,14,138,165,19,0
Buick Park Avenue Ultra,33797,7,15.5,107,216,17,1
Buick Regal Gran Sport,24305,8.3,16.5,110,202,19,1
Buick Riviera,30643,8.2,16.3,109,199,19,1
Cadillac Eldorado Touring Coupe,45626,6.4,14.8,148,184,16,1
Cadillac SLS,46501,6.7,15,115,195,16,1
Chevrolet Blazer LT,26969,9.1,17,103,218,16,1
Chevrolet Camaro,20509,7.7,15.9,114,192,19,1
Chevrolet Camaro Convertible,22484,9.3,17,110,195,19,1
Chevrolet Camaro Z28,22686,5.5,14.1,156,162,17,1
Chevrolet Cavalier,13417,8.8,16.7,113,209,25,1
Chevrolet Corvette,42614,5.1,13.7,161,166,17,1
Chevrolet Impala SS,23355,6.5,15,142,179,17,1
Chevrolet Lumina LS,19900,8,16.3,119,205,17,1
Chevrolet Monte Carlo LS,18530,8.7,16.7,113,197,19,1
Chevrolet Tahoe LT,31877,11.3,18.2,99,198,12,1
Chevy Suburban Turbodiesel,35242,13.6,19.2,96,218,15,1
Chrysler Cirrus LXi,19600,9,17,124,202,20,1
Chrysler Sebring LX,17660,8.2,16.4,129,191,22,1
Chrysler Town & Country,26160,10.9,18.1,106,196,17,1
Dodge Avenger ES,20800,9.1,17,120,190,20,1
Dodge Intrepid,19837,9.5,17.2,111,195,20,1
Dodge Neon Sport Coupe,15155,7.6,16,115,207,29,1
Dodge Stratus ES,16195,8.9,16.8,121,197,25,1
Dodge Viper RT/10,61975,4.3,12.8,168,180,14,1
Eagle Talon TSi AWD,22000,6.6,15.3,137,169,21,1
Ferrari F355,128800,4.5,13,179,165,10,0
Ford Contour SE,20140,8.8,16.9,112,183,22,1
Ford Crown Victoria LX,25900,8.8,16.8,106,190,17,1
Ford Explorer XLT,25625,10.7,17.9,106,199,15,1
Ford Mustang Cobra R,35000,5.4,14,151,165,19,1
Ford Mustang GT SVO GT40,23975,5.5,14.2,151,170,21,1
Ford Probe GT,20815,7.4,15.9,131,164,21,1
Ford Windstar LX,26700,11.4,18.3,104,195,17,1
Guldstrand GS90,144695,4.6,12.9,176,172,17,0
Honda Accord LX V-6,22680,8.8,17,128,182,23,0
Honda Civic DX,13210,8.7,16.7,110,198,35,0
Honda Odyssey EX,25390,10.7,18.1,108,192,20,0
Honda Passport EX,25975,10.4,18,103,189,15,0
Honda Prelude VTEC,24942,6.5,15.1,137,181,22,0
Hyundai Elantra GLS,12965,10,17.3,113,193,21,0
Hyundai Sonata GLS,19516,9.3,17.1,118,189,18,0
Infiniti G20t,25325,8.3,16.5,125,176,24,0
Infiniti I30t,35200,7.7,16.1,127,189,21,0
Infiniti Q45,57025,7.8,16.1,143,187,17,0
Isuzu Trooper LS,32580,10.9,18.1,105,193,15,0
