GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",53550915,52479584,52325267,50344621,51021839,50315131
 "02000","Alaska",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",42616883,41416826,41436150,39896647,40877132,40178226
 "02000","Alaska",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",439379,435081,455080,394595,363644,408660
 "02000","Alaska",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",8150441,7178957,7215068,8173918,6900309,6013767
 "02000","Alaska",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",791671,781493,781680,890427,848904,760243
 "02000","Alaska",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2445039,2500471,2559410,2448606,2382454,2126742
 "02000","Alaska",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1726515,1261615,1405449,1322571,1287704,1261838
 "02000","Alaska",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",228009,217954,223046,192650,202430,210063
 "02000","Alaska",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1498506,1046103,1184195,1132185,1086816,1054009
 "02000","Alaska",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1285798,1344334,1417837,1335069,1331309,1256946
 "02000","Alaska",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2428402,2515008,2601547,2563393,2447420,2318675
 "02000","Alaska",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",7180158,7262298,6782451,6211355,7164622,7346641
 "02000","Alaska",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1329184,1151958,1255330,1235108,1504667,1626032
 "02000","Alaska",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",6505380,6594634,6399473,6131864,6442323,6693258
 "02000","Alaska",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",1359084,1293605,1280111,1164423,1163731,1087265
 "02000","Alaska",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",5146296,5303406,5120429,4970445,5283304,5617981
 "02000","Alaska",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",3298548,3210087,3290605,3065155,3250368,3433848
 "02000","Alaska",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",1892170,1833759,1871195,1718245,1867545,1966462
 "02000","Alaska",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",362246,364448,395998,376357,433835,473807
 "02000","Alaska",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1044132,1012049,1024692,971559,957497,1004731
 "02000","Alaska",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",4282174,4472769,4571523,4407405,4670103,4749984
 "02000","Alaska",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",195513,190198,193214,148885,175676,192751
 "02000","Alaska",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",4086661,4282655,4378415,4259491,4494983,4557459
 "02000","Alaska",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1832434,1843713,1868542,1262438,1674983,1923267
 "02000","Alaska",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",314063,316907,334608,197288,266977,325225
 "02000","Alaska",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",1518372,1526810,1534074,1065736,1408664,1599367
 "02000","Alaska",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",921761,931540,912742,845327,878850,886953
 "02000","Alaska",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",10934032,11066317,10892322,10450774,10167738,10174485
 "02000","Alaska",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",8589820,7610841,7666676,8531882,7234526,6371772
 "02000","Alaska",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",3714200,3859456,4020328,3898029,3777576,3574611
 "02000","Alaska",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",7971829,8043645,7563525,7093236,8006202,8095113
 "02000","Alaska",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",3055699,2406872,2654748,2550808,2765881,2839530
 "02000","Alaska",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",12761373,11360488,11622670,12172900,10835138,9677038
 "02000","Alaska",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",29855510,30111100,29863775,27911118,30152691,30864699
 "02013","Aleutians East Borough, AK",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",312665,345745,319484,252358,277219,290811
 "02013","Aleutians East Borough, AK",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",289604,322044,295637,230517,257062,270985
 "02013","Aleutians East Borough, AK",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),(D),7982,8658
 "02013","Aleutians East Borough, AK",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",0,0,0,0,(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1182,1351,1484,1153,1192,889
 "02013","Aleutians East Borough, AK",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",195453,162856,176162,155199,166235,184822
 "02013","Aleutians East Borough, AK",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",24,20,14,6,0,0
 "02013","Aleutians East Borough, AK",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",195429,162836,176148,155193,166234,184821
 "02013","Aleutians East Borough, AK",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",22,31,37,(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2005,1947,2109,2404,2253,2225
 "02013","Aleutians East Borough, AK",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",3430,3625,(D),(D),(D),2699
 "02013","Aleutians East Borough, AK",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",914,781,709,616,(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",6476,7633,6692,7813,7302,7795
 "02013","Aleutians East Borough, AK",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",2,0,0,0,0,0
 "02013","Aleutians East Borough, AK",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",6474,7633,6692,7813,7302,7795
 "02013","Aleutians East Borough, AK",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",2179,2288,1568,1277,1627,2099
 "02013","Aleutians East Borough, AK",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",(D),(D),(D),90,115,117
 "02013","Aleutians East Borough, AK",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",27,19,34,21,32,34
 "02013","Aleutians East Borough, AK",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",2557,2383,2290,1448,1942,2124
 "02013","Aleutians East Borough, AK",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",23061,23730,23837,21784,20203,19929
 "02013","Aleutians East Borough, AK",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",2027,1979,2146,(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",4612,4976,(D),(D),(D),3571
 "02013","Aleutians East Borough, AK",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",196367,163637,176874,155818,(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",265505,296942,273337,207611,233285,247086
 "02013","Aleutians East Borough, AK",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",24099,25123,22329,22991,23859,24047
 "02016","Aleutians West Census Area, AK",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",795250,672215,601260,670490,657526,690977
 "02016","Aleutians West Census Area, AK",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",743777,617725,545945,618911,608572,642502
 "02016","Aleutians West Census Area, AK",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",13927,19431,20595,11128,13308,23175
 "02016","Aleutians West Census Area, AK",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",10735,6747,7214,6734,5475,4745
 "02016","Aleutians West Census Area, AK",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",8348,7427,7975,8350,7509,6191
 "02016","Aleutians West Census Area, AK",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",355014,244130,185356,258903,219631,235561
 "02016","Aleutians West Census Area, AK",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",158778,144138,141926,143957,150179,173444
 "02016","Aleutians West Census Area, AK",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),(D),28891,(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",19300,15962,(D),16945,16527,16241
 "02016","Aleutians West Census Area, AK",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",82925,77247,65478,72974,72926,63089
 "02016","Aleutians West Census Area, AK",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",3905,4186,5265,5330,6389,6579
 "02016","Aleutians West Census Area, AK",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",28211,31276,(D),34412,36088,(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",(D),(D),26705,(D),(D),34310
 "02016","Aleutians West Census Area, AK",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",21274,22405,21420,17940,9720,8843
 "02016","Aleutians West Census Area, AK",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),3229,(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",15867,17067,15441,(D),(D),4251
 "02016","Aleutians West Census Area, AK",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",8476,9415,9039,8475,8462,8042
 "02016","Aleutians West Census Area, AK",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",71,61,106,111,133,138
 "02016","Aleutians West Census Area, AK",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",8405,9354,8932,8362,8327,7900
 "02016","Aleutians West Census Area, AK",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",(D),(D),3057,(D),(D),3460
 "02016","Aleutians West Census Area, AK",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",5949,5123,5535,5284,5542,5415
 "02016","Aleutians West Census Area, AK",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",51473,54443,55273,51639,49043,48481
 "02016","Aleutians West Census Area, AK",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",24662,26084,27711,17917,18648,26983
 "02016","Aleutians West Census Area, AK",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02016","Aleutians West Census Area, AK",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",91273,84678,73393,81266,80360,69222
 "02016","Aleutians West Census Area, AK",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",162682,148323,147164,149260,156453,179967
 "02016","Aleutians West Census Area, AK",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",538453,413836,353392,421225,387941,434276
 "02016","Aleutians West Census Area, AK",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",205323,203582,192035,196892,219922,209249
 "02020","Anchorage Municipality, AK",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",23195622,23319628,23072230,22410855,23030206,22928246
 "02020","Anchorage Municipality, AK",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",18523266,18610349,18461720,17962953,18720246,18670611
 "02020","Anchorage Municipality, AK",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",60385,48405,45401,37727,33880,39332
 "02020","Anchorage Municipality, AK",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",704709,669470,773326,1114369,503707,309000
 "02020","Anchorage Municipality, AK",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",290646,284532,280113,306092,336449,305375
 "02020","Anchorage Municipality, AK",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",937323,1032805,1113598,993130,970850,838971
 "02020","Anchorage Municipality, AK",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",182320,173165,178825,157382,163938,160740
 "02020","Anchorage Municipality, AK",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",97626,95297,96024,85837,81712,77909
 "02020","Anchorage Municipality, AK",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",84694,77873,82811,71539,82522,83271
 "02020","Anchorage Municipality, AK",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",977412,1024735,1088502,1027554,1005941,941973
 "02020","Anchorage Municipality, AK",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1216638,1246235,1261941,1222548,1170820,1106949
 "02020","Anchorage Municipality, AK",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",4027194,4078838,3725470,3884529,4508851,4638771
 "02020","Anchorage Municipality, AK",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",965171,800654,875176,893535,1091674,1173369
 "02020","Anchorage Municipality, AK",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",3322777,3381983,3171722,3027937,3162087,3230096
 "02020","Anchorage Municipality, AK",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",912012,864688,847633,770746,779103,727516
 "02020","Anchorage Municipality, AK",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",2410765,2518959,2324005,2258213,2384685,2507731
 "02020","Anchorage Municipality, AK",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",2126538,2064540,2105090,1982414,2112639,2233239
 "02020","Anchorage Municipality, AK",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",1320188,1288894,1309241,1220292,1305359,1370893
 "02020","Anchorage Municipality, AK",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",223089,231125,239156,236830,278946,310257
 "02020","Anchorage Municipality, AK",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",583261,544786,557074,526368,533275,559257
 "02020","Anchorage Municipality, AK",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",2422641,2517475,2568132,2434560,2528063,2574302
 "02020","Anchorage Municipality, AK",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",96609,93098,95807,78712,90022,95104
 "02020","Anchorage Municipality, AK",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",2326032,2424423,2472358,2356176,2438151,2479222
 "02020","Anchorage Municipality, AK",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",833315,835875,852832,595452,757695,846577
 "02020","Anchorage Municipality, AK",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",142552,144287,153388,100247,134047,154194
 "02020","Anchorage Municipality, AK",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",690763,691594,699515,495312,623737,692662
 "02020","Anchorage Municipality, AK",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",456197,450390,432680,387175,414421,419119
 "02020","Anchorage Municipality, AK",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",4672356,4709231,4610707,4448468,4314392,4261510
 "02020","Anchorage Municipality, AK",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",765094,718332,819372,1144288,536548,343088
 "02020","Anchorage Municipality, AK",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",2194051,2271148,2351917,2251030,2177424,2049687
 "02020","Anchorage Municipality, AK",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",4317840,4363287,4005355,4189782,4844638,4941685
 "02020","Anchorage Municipality, AK",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",1147491,974174,1053974,1049292,1250252,1325493
 "02020","Anchorage Municipality, AK",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",1884736,1921226,2108574,2215408,1658738,1313177
 "02020","Anchorage Municipality, AK",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",16638529,16688643,16350746,15754207,17071290,17414068
 "02050","Bethel Census Area, AK",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",711083,734987,710934,686331,661157,677999
 "02050","Bethel Census Area, AK",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",465264,476989,455919,453430,447871,466453
 "02050","Bethel Census Area, AK",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",322,43,(D),(D),269,286
 "02050","Bethel Census Area, AK",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",20846,22627,11146,8954,(D),(D)
 "02050","Bethel Census Area, AK",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",11074,11192,11676,12869,11571,9604
 "02050","Bethel Census Area, AK",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",(D),(D),6556,6236,5288,4110
 "02050","Bethel Census Area, AK",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02050","Bethel Census Area, AK",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",270,254,299,301,(D),(D)
 "02050","Bethel Census Area, AK",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),20961,19523
 "02050","Bethel Census Area, AK",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",5603,5843,6249,4851,3248,3014
 "02050","Bethel Census Area, AK",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",33865,37153,38322,39603,36747,35647
 "02050","Bethel Census Area, AK",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",38313,42894,40357,49922,26611,26534
 "02050","Bethel Census Area, AK",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",(D),(D),(D),6542,(D),7140
 "02050","Bethel Census Area, AK",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",159232,153382,138169,129443,143990,165828
 "02050","Bethel Census Area, AK",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",7867,7917,8012,8656,8948,7951
 "02050","Bethel Census Area, AK",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",151365,145452,130079,120645,134913,157945
 "02050","Bethel Census Area, AK",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),13940,(D),12137,(D),11755
 "02050","Bethel Census Area, AK",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02050","Bethel Census Area, AK",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "02050","Bethel Census Area, AK",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",5770,6594,4432,4178,4470,3556
 "02050","Bethel Census Area, AK",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",104978,114857,123899,121917,128026,132671
 "02050","Bethel Census Area, AK",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
