GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",333098997,346398299,359645749,362603499,390805167,403474201
 "04000","Arizona",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",290406039,303832334,316384088,319830175,346767475,358488619
 "04000","Arizona",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2392939,2344447,2463560,1877339,1625734,1758381
 "04000","Arizona",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",4374039,4122715,3963562,4815520,6148193,4927198
 "04000","Arizona",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",7063414,7015377,7245149,7995223,7250799,6533098
 "04000","Arizona",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",15520314,17030479,18331331,19810439,20790146,20764968
 "04000","Arizona",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",25753729,28454360,31171902,32037150,35303890,36433695
 "04000","Arizona",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",21152204,23572781,25813316,26652426,29274686,30218354
 "04000","Arizona",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",4601526,4881968,5358944,5386829,6027379,6214386
 "04000","Arizona",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",18676564,18814367,18537090,19379796,19411319,19051966
 "04000","Arizona",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",25116485,25702789,26454187,26956435,26780146,26432426
 "04000","Arizona",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",10698512,11315229,11628722,10702567,13277137,14340588
 "04000","Arizona",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",11582906,12419081,14728837,15126463,16998290,17467700
 "04000","Arizona",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",75309803,78330872,80681521,84492865,90560110,95173996
 "04000","Arizona",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",24471997,24935790,25721534,28058790,29865278,27654427
 "04000","Arizona",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",50837806,53409744,54973322,56412701,60677747,67711755
 "04000","Arizona",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",38345389,40581879,42374557,42221732,48548150,52835119
 "04000","Arizona",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",19043261,20588142,21501644,21448685,24609498,26771321
 "04000","Arizona",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",4131336,3808580,4311265,4783741,6049193,7149584
 "04000","Arizona",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",15170792,16179355,16571525,16043080,18014715,19138516
 "04000","Arizona",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",32766202,34108212,35723104,35286578,37617672,39404062
 "04000","Arizona",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",4018766,4057272,4255873,3988660,4274290,4515101
 "04000","Arizona",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",28747435,30051695,31467916,31303458,33348722,34893653
 "04000","Arizona",6,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",15905160,16434040,15997543,12754890,15717185,17274963
 "04000","Arizona",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",3682339,3717614,3492823,2308266,2690363,3354192
 "04000","Arizona",6,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",12222821,12715818,12501757,10438134,13012886,13933665
 "04000","Arizona",6,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",6900581,7185225,7308409,6534012,7417377,7647947
 "04000","Arizona",6,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",42692957,42575227,43280564,42812801,44143515,45098340
 "04000","Arizona",6,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",6766978,6465090,6415073,6742741,7864683,6767251
 "04000","Arizona",6,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",43793050,44514823,44966796,46320672,46174138,45469116
 "04000","Arizona",6,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",17761927,18328689,18871929,18697230,20456740,20727064
 "04000","Arizona",6,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",37336636,40876877,45877015,47139533,52259415,53861759
 "04000","Arizona",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",48041022,51950095,55918713,58635468,63960319,63727741
 "04000","Arizona",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",242365018,251889996,260491466,261246256,282870405,294823320
 "04001","Apache, AZ",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2640484,2672460,2399841,2332203,2344892,2231257
 "04001","Apache, AZ",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1723539,1758196,1498687,1442079,1454571,1338995
 "04001","Apache, AZ",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2715,47679,1725,(D),12201,6487
 "04001","Apache, AZ",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",45172,39025,29377,27933,24245,24333
 "04001","Apache, AZ",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",642136,607642,452013,474741,499976,441808
 "04001","Apache, AZ",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",34598,31761,28011,36577,46574,36721
 "04001","Apache, AZ",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",11302,13294,19204,14782,12512,10744
 "04001","Apache, AZ",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",7095,6601,9150,9152,(D),(D)
 "04001","Apache, AZ",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",4206,6637,9963,5411,(D),(D)
 "04001","Apache, AZ",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),30648
 "04001","Apache, AZ",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",59574,59034,56729,51655,48497,44468
 "04001","Apache, AZ",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",279237,274178,250835,200156,177318,(D)
 "04001","Apache, AZ",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",51796,37446,53914,59376,40001,36908
 "04001","Apache, AZ",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",295365,337267,286100,270343,271586,(D)
 "04001","Apache, AZ",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",18767,20535,21965,24304,25742,(D)
 "04001","Apache, AZ",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",276598,316756,263981,245830,245624,246141
 "04001","Apache, AZ",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",26819,(D),(D),(D),(D),30830
 "04001","Apache, AZ",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",9280,(D),(D),(D),(D),(D)
 "04001","Apache, AZ",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",0,(D),(D),(D),(D),(D)
 "04001","Apache, AZ",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",17539,17134,15264,13688,16946,18233
 "04001","Apache, AZ",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",193363,198109,201660,199302,194307,192865
 "04001","Apache, AZ",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",24905,22387,22791,18305,18261,16418
 "04001","Apache, AZ",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",168458,175735,178883,181075,176113,176533
 "04001","Apache, AZ",6,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",(D),45786,44569,35362,50900,52961
 "04001","Apache, AZ",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",(D),1872,3072,1356,1577,3005
 "04001","Apache, AZ",6,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",(D),43917,41528,34036,49371,50067
 "04001","Apache, AZ",6,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",19408,20252,20182,19830,18831,18636
 "04001","Apache, AZ",6,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",916945,914261,901219,889943,890194,894585
 "04001","Apache, AZ",6,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",47886,85199,31661,(D),37644,31797
 "04001","Apache, AZ",6,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),75015
 "04001","Apache, AZ",6,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",921373,881824,703397,673416,676103,(D)
 "04001","Apache, AZ",6,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",63098,50934,73401,74115,52903,47691
 "04001","Apache, AZ",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",93786,130650,79849,(D),97730,80313
 "04001","Apache, AZ",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",1629753,1627009,1417930,(D),1357133,1260201
 "04003","Cochise, AZ",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",4585054,4589727,4693345,4987234,4878561,4855020
 "04003","Cochise, AZ",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2820597,2858424,2930532,3192812,3060985,3141941
 "04003","Cochise, AZ",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",12979,15021,42211,15222,28675,46747
 "04003","Cochise, AZ",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",13993,12817,34847,30446,14523,(D)
 "04003","Cochise, AZ",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",126645,123481,135495,160034,137286,(D)
 "04003","Cochise, AZ",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",113935,122046,136725,248155,155574,131192
 "04003","Cochise, AZ",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",56949,61029,71661,79196,90852,97656
 "04003","Cochise, AZ",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",24850,24878,33658,37445,43599,48955
 "04003","Cochise, AZ",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",32098,36145,37990,41732,47244,48769
 "04003","Cochise, AZ",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",73988,70842,69580,74709,75980,84217
 "04003","Cochise, AZ",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",292998,292504,289383,302824,293331,290479
 "04003","Cochise, AZ",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",108042,80242,73828,112812,107635,98164
 "04003","Cochise, AZ",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",91207,95571,104388,92550,69482,66424
 "04003","Cochise, AZ",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",975616,1022044,991516,1130472,1071179,(D)
