GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "06000","California",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2740550256,2850970282,2962792081,2925146950,3146185348,3167460825
 "06000","California",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2415987761,2522856860,2632970810,2602652012,2821366669,2840701647
 "06000","California",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",39257475,40471234,39033634,40835589,35848171,30526944
 "06000","California",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",9837289,8326314,8610445,10060891,7949507,6557335
 "06000","California",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",38232659,38298794,38016555,40672266,35767749,38017471
 "06000","California",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",110699136,116056643,119215979,112654783,115381054,106709597
 "06000","California",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",294636660,319633746,332526675,326023433,357714517,349656701
 "06000","California",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",176065887,187865696,192375282,199488733,223662576,225553527
 "06000","California",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",118570773,131669315,139921412,126143809,133651087,124814581
 "06000","California",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",155598124,155463007,159232803,157278662,155797318,148895189
 "06000","California",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",157909485,161518946,168875658,160556640,161571300,159098238
 "06000","California",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",75160178,80727338,88298319,81177659,94972001,94759288
 "06000","California",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",271436277,284908747,316195365,335190009,395959766,416667830
 "06000","California",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",507442962,519614652,526913918,530550078,574842554,577467714
 "06000","California",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",135161274,130354396,131695160,140475717,159045997,146129677
 "06000","California",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",372281688,389466860,395449000,390055408,415483881,432007568
 "06000","California",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",367934539,398499764,422902582,439379863,490143224,506053710
 "06000","California",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",244622303,266180208,286089359,301183973,337129145,345830625
