GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",350209112,365204531,383595975,380921899,406961532,416114361
 "08000","Colorado",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",307059120,321328111,338776975,336024542,361424196,369485211
 "08000","Colorado",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2364919,2594583,2663288,2037181,2475927,845724
 "08000","Colorado",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",13292822,13972931,15609177,13864481,12205192,10692435
 "08000","Colorado",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3940150,3809584,4263920,4813634,5269187,4916103
 "08000","Colorado",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",20895748,22141490,22807447,22553466,23077024,21767338
 "08000","Colorado",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",21524028,22797284,23830036,24838892,25580218,25124037
 "08000","Colorado",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",13803686,14751129,15551019,15758696,16459565,16526447
 "08000","Colorado",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",7720342,8048427,8283990,9086066,9134624,8643481
 "08000","Colorado",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",20006146,20322786,20757120,21285624,21184114,20457289
 "08000","Colorado",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",20291820,21189116,21915052,22128100,21621332,21242251
 "08000","Colorado",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",12316071,13370338,12437136,10426260,12932324,14395960
 "08000","Colorado",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",16445325,18696264,23383187,26889244,29280048,32737635
 "08000","Colorado",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",72358401,73805018,76516720,78559565,85043870,86848694
 "08000","Colorado",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",20335216,20217682,20577800,22302628,23212543,22128746
 "08000","Colorado",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",52023184,53601185,55969073,56253202,61856572,64823427
 "08000","Colorado",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",51356947,54839113,59795353,59666582,68059043,74715489
 "08000","Colorado",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",32999246,35842994,39367508,39736231,46161304,51463610
 "08000","Colorado",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",7617122,7506712,8594851,8873683,9916519,10304394
 "08000","Colorado",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",10740579,11484430,11854849,11126351,12093741,13055805
 "08000","Colorado",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",25561473,26463702,27393354,26771964,28348884,29547468
 "08000","Colorado",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",3110039,3255510,3378341,3108748,3354181,3627812
 "08000","Colorado",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",22451434,23207976,24014648,23667272,24997415,25919296
 "08000","Colorado",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",18414752,18699185,18947049,14224411,18231921,20581987
 "08000","Colorado",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",5957318,5927423,5619532,3980924,4942359,5655598
 "08000","Colorado",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",12457434,12771174,13322071,10239528,13284523,14924308
 "08000","Colorado",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",8290522,8704598,8866938,8244116,8689039,8883795
 "08000","Colorado",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",43149992,43879892,44837494,44901235,45647816,46746118
 "08000","Colorado",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",15657741,16557554,18278764,15851538,14737145,11701458
 "08000","Colorado",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",40297965,41508007,42661999,43408963,42796856,41696341
 "08000","Colorado",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",16256221,17176876,16697611,15232661,18170906,19209556
 "08000","Colorado",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",37969352,41480003,47104446,51537915,54591804,57280840
 "08000","Colorado",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",58077516,61490247,64905366,63751683,63935175,58399118
 "08000","Colorado",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",248981604,259828496,273856555,272219550,297346908,311759192
 "08001","Adams, CO*",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",25629536,26745667,28242423,28432213,30195165,30417710
 "08001","Adams, CO*",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",21445727,22282849,23238579,23422572,24922968,24850947
 "08001","Adams, CO*",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",39600,(D),96841,42225,91454,30127
 "08001","Adams, CO*",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",160728,273224,652914,443445,558562,548305
 "08001","Adams, CO*",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",319908,(D),321641,350358,311365,314470
 "08001","Adams, CO*",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2717016,2805610,2825045,2819394,2931921,2711348
 "08001","Adams, CO*",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",2196955,2131388,2177787,2358722,2260726,1932209
 "08001","Adams, CO*",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",861530,928053,978755,950542,905982,846972
 "08001","Adams, CO*",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1335425,1210385,1208866,1427315,1375239,1117150
 "08001","Adams, CO*",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2943866,3061893,3073076,3146651,3101395,2993681
 "08001","Adams, CO*",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1563135,1624212,1696219,1767231,1743294,1709277
 "08001","Adams, CO*",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1773714,2059496,1753320,2053498,2170551,2188642
 "08001","Adams, CO*",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",606294,595375,870852,952524,1655431,1860258
 "08001","Adams, CO*",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",3956794,4029256,4173107,4200838,4363882,4484562
 "08001","Adams, CO*",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",464840,461047,463808,528918,549564,533678
 "08001","Adams, CO*",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",3491954,3568631,3710511,3670827,3813180,3951564
 "08001","Adams, CO*",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",2147754,2206703,2311329,2348750,2673325,2943346
