GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",273875070,274582807,274219351,258625032,268846677,276668755
 "09000","Connecticut",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",246281003,247769657,248269601,233644458,244014136,251611863
 "09000","Connecticut",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",396712,379175,420275,368288,317474,341406
 "09000","Connecticut",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",157690,150818,147403,187646,125384,108388
 "09000","Connecticut",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",4340594,4344050,4399693,4700974,4333836,3800709
 "09000","Connecticut",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",7547691,7497959,7490306,6634022,7180471,6511897
 "09000","Connecticut",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",28374251,31432746,32168309,30278145,32064081,33735650
 "09000","Connecticut",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",20076428,22738234,23784610,21624083,23744431,25590556
 "09000","Connecticut",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",8297823,8697889,8388491,8670107,8358505,8235369
 "09000","Connecticut",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",14667332,14279187,13672412,13395858,13708104,13348705
 "09000","Connecticut",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",14634190,15189718,15211358,14280842,14236724,13609398
 "09000","Connecticut",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",5580563,5481378,5260505,5347855,5838302,5829109
 "09000","Connecticut",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",14113856,14919774,16720422,16218903,17912508,19188803
 "09000","Connecticut",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",81940181,78251011,75368705,71736907,71777455,73919838
 "09000","Connecticut",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",46917082,41093032,38339737,35397793,35016508,36734592
 "09000","Connecticut",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",35023099,37215395,37108379,36434569,36870978,37282078
 "09000","Connecticut",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",32497864,33298695,33993515,31970944,34947153,38206176
 "09000","Connecticut",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",18522075,19035979,19552509,18357599,20551105,22250073
 "09000","Connecticut",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",6581987,6816176,7125213,6756789,6796823,7686929
 "09000","Connecticut",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",7393802,7447879,7327922,6871964,7568367,8260232
 "09000","Connecticut",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",27656061,28188371,28959058,27813741,28968359,30229332
 "09000","Connecticut",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",6067764,6156464,6390428,6022886,6232715,6689064
 "09000","Connecticut",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",21588298,22032037,22567948,21792083,22737648,23539450
 "09000","Connecticut",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",9128379,9020960,9369473,6505050,8443693,9336337
 "09000","Connecticut",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",2396882,2449056,2369812,1779129,2422497,3036400
