GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",69555627,70856435,74597399,72550314,74436666,75172590
 "10000","Delaware",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",62453076,63553933,67352131,65405180,67142032,67721726
 "10000","Delaware",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",611534,656013,574361,336098,490524,682433
 "10000","Delaware",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",5610,6460,6070,6279,6769,6809
 "10000","Delaware",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1061260,997327,999488,1119987,1045413,1014965
 "10000","Delaware",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2596989,2630427,2742689,2699949,2783747,2523911
 "10000","Delaware",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",4352102,4606399,5281862,5411665,5392876,5239870
 "10000","Delaware",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1323812,1414448,1468167,1406837,1418285,1436297
 "10000","Delaware",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3028290,3192135,3809445,4003081,3973846,3809665
 "10000","Delaware",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1879860,1902527,1930839,2022306,2006246,1952068
 "10000","Delaware",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",3021184,3110413,3159903,3053990,3079661,2908629
 "10000","Delaware",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1187421,1219346,1312957,1291445,1439357,1530133
 "10000","Delaware",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",937069,976183,1076708,1063759,1252342,1370685
 "10000","Delaware",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",29640581,29944902,32230339,31528314,31291051,31137733
 "10000","Delaware",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",19905119,17431785,19266607,18318266,17534337,16782655
 "10000","Delaware",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",9735462,12586104,13013556,13283837,13853206,14495329
 "10000","Delaware",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",8245442,8421215,8732841,8530543,9244545,9915859
 "10000","Delaware",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",4699226,4814736,4901547,4747068,5165027,5357475
 "10000","Delaware",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1851277,1717043,1910554,1863967,1978018,2234458
 "10000","Delaware",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1694940,1887011,1924086,1922113,2099445,2334741
 "10000","Delaware",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",5866867,5996467,6153466,5840368,6116210,6375857
 "10000","Delaware",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",439149,439253,438475,380259,382704,403099
 "10000","Delaware",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",5427718,5557258,5715178,5460846,5734562,5973801
 "10000","Delaware",2,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1988328,2027124,2066827,1538621,2024296,2165685
 "10000","Delaware",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",458236,392293,389782,309634,375265,440547
 "10000","Delaware",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",1530092,1634684,1676843,1228660,1648793,1726230
 "10000","Delaware",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",1058829,1065656,1063745,936089,990564,1003080
 "10000","Delaware",2,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",7102551,7302743,7243684,7141872,7292292,7449890
 "10000","Delaware",2,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",617144,662489,580480,342694,497661,690032
 "10000","Delaware",2,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",4901044,5012663,5090405,5079211,5089219,4862868
 "10000","Delaware",2,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",2248682,2216697,2312697,2410059,2482947,2541179
 "10000","Delaware",2,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",5289171,5582978,6360994,6479095,6635434,6575358
 "10000","Delaware",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",7566235,7898807,8613422,8481582,8708714,8530183
 "10000","Delaware",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",54886842,55656460,58744097,56933301,58443963,59211373
 "10001","Kent, DE",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",7633026,7813320,8384005,8000617,8254518,8312232
 "10001","Kent, DE",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",5449457,5567826,6148960,5732848,5927847,5964154
 "10001","Kent, DE",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),(D),137410,174003
 "10001","Kent, DE",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",4407,3668,2330,2327,(D),(D)
 "10001","Kent, DE",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),(D),284532,297258,256785,250894
 "10001","Kent, DE",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",325519,325645,359868,354794,362370,330399
