GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",87436367,88836402,88945262,79592540,84121542,85211432
 "15000","Hawaii",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",69194754,71148209,71419497,62247873,66714138,68251086
 "15000","Hawaii",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",492806,453475,417055,416044,385110,325777
 "15000","Hawaii",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",55064,65767,60546,70917,67025,61277
 "15000","Hawaii",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1848522,1814239,1758848,1852992,1813609,1830422
 "15000","Hawaii",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",5274449,5119053,5193547,5024443,4940276,4339558
 "15000","Hawaii",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1565904,1566091,1384421,1335186,1317721,1296311
 "15000","Hawaii",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",424706,429711,430861,385934,416781,411599
 "15000","Hawaii",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1141198,1136829,956947,953586,905329,889699
 "15000","Hawaii",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2830470,2770947,2790822,2661674,2522384,2415311
 "15000","Hawaii",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",6133770,6492390,6496063,5606085,5481663,5610010
 "15000","Hawaii",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",4788346,4819064,5075470,3102161,4214181,4447755
 "15000","Hawaii",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1984963,2215102,2081383,1948617,2480716,2589739
 "15000","Hawaii",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",18045590,18184806,18407474,17865164,18736468,18610267
 "15000","Hawaii",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3204174,3171914,3268233,3351835,3592314,3423929
 "15000","Hawaii",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",14841416,15014074,15138781,14510044,15140105,15185800
 "15000","Hawaii",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",7801100,8072137,7708360,7122390,7717714,8313279
 "15000","Hawaii",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",3660598,3775651,3822575,3602104,4102297,4343113
 "15000","Hawaii",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1092637,1146626,1226530,1151502,1202935,1369230
 "15000","Hawaii",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",3047864,3150053,2668958,2381334,2429112,2625757
 "15000","Hawaii",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",6955067,7179150,7422698,7277817,7544408,7698007
 "15000","Hawaii",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",956424,963731,966377,869777,919902,984212
 "15000","Hawaii",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",5998643,6215554,6456923,6410302,6626410,6714730
 "15000","Hawaii",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",9335414,10236931,10432932,6033716,7718277,9046800
 "15000","Hawaii",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",1009159,1076243,1130814,651207,880537,1137904
 "15000","Hawaii",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",8326256,9160461,9302483,5382773,6835680,7908560
 "15000","Hawaii",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",2083290,2162421,2176562,1850240,1927820,1961639
 "15000","Hawaii",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",18241612,17691807,17530666,17317066,17400687,16953037
 "15000","Hawaii",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",547869,519758,478080,488440,453562,388049
 "15000","Hawaii",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",8964240,9261230,9285370,8272379,8009590,8034136
 "15000","Hawaii",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",6636868,6632721,6832043,4976210,5992803,6229997
 "15000","Hawaii",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",3550867,3775280,3456086,3275940,3764620,3835702
 "15000","Hawaii",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",7388222,7206215,7058259,6847892,6710660,6020326
 "15000","Hawaii",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",61806533,63945724,64367898,55391589,60014518,62319068
 "15001","Hawaii, HI",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",8324824,8564258,8719351,7509986,8332736,8497948
 "15001","Hawaii, HI",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",6999116,7192120,7310358,6139883,6988008,7150606
