GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",72935116,77652137,81261310,82818589,87992888,91683659
 "16000","Idaho",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",63172728,67792211,71093489,72752911,77709236,81129369
 "16000","Idaho",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3232124,3772257,3969426,3965766,3189895,3647371
 "16000","Idaho",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",504218,483298,405629,662338,826682,604168
 "16000","Idaho",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1403479,1327857,1332916,1473086,1280727,1291448
 "16000","Idaho",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3842927,3958567,4311036,4633529,5323333,5271622
 "16000","Idaho",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",7936109,8820504,8902134,9009448,8897895,9534549
 "16000","Idaho",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",4798525,5367211,5349845,5113684,4962499,5358268
 "16000","Idaho",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3137584,3453122,3551957,3888252,3927797,4166244
 "16000","Idaho",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",4782034,4992783,5175169,5454339,6146158,5916570
 "16000","Idaho",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",6135585,6769152,7331234,7299977,7241222,6861770
 "16000","Idaho",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",2283549,2356775,2331716,2278648,2690703,2658182
 "16000","Idaho",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1552441,1567090,1827953,1683672,2178914,2502911
 "16000","Idaho",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",12979340,13894906,14362610,14987736,16140572,17117096
 "16000","Idaho",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3376952,3452955,3525421,3901108,4374619,4158857
 "16000","Idaho",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",9602388,10446079,10843197,11087521,11763289,12978959
 "16000","Idaho",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",7335000,8041852,8732080,9467434,10585320,11538076
 "16000","Idaho",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",3905578,4263013,4762447,5203092,5913898,6556053
 "16000","Idaho",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",681853,867928,997589,1104082,1230819,1337046
 "16000","Idaho",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",2747569,2912754,2979819,3172539,3459911,3674891
 "16000","Idaho",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",6681742,7060704,7608308,7466698,8155760,8776071
 "16000","Idaho",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",576344,617225,681998,669501,751331,823736
 "16000","Idaho",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",6105398,6443434,6926019,6796908,7403648,7951177
 "16000","Idaho",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",2984994,3156440,3180730,2826605,3369555,3920217
 "16000","Idaho",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",558492,622173,648496,514126,708500,820877
 "16000","Idaho",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2426502,2534384,2532521,2313168,2661172,3099313
 "16000","Idaho",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",1519189,1607037,1666439,1580396,1759617,1814166
 "16000","Idaho",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",9762388,9863318,10173419,10079348,10308035,10577115
 "16000","Idaho",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",3736342,4251826,4363324,4640284,4038079,4295472
 "16000","Idaho",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",10917618,11759765,12497908,12751558,13376171,12766203
 "16000","Idaho",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",3687028,3685042,3664778,3747880,3969722,3948093
 "16000","Idaho",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",9488550,10389422,10724823,10695748,11034759,11970359
 "16000","Idaho",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",15515378,17025114,17582386,18291489,18298131,19130643
 "16000","Idaho",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",47657351,50770719,53507693,54468408,59404829,61990215
 "16001","Ada, ID",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",25662635,27625688,28905316,29363366,31678303,33232323
 "16001","Ada, ID",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",22580328,24498002,25643451,26083094,28343981,29824120
 "16001","Ada, ID",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",81867,94501,91376,106384,84362,86422
 "16001","Ada, ID",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",30024,26821,19489,36325,49501,45398
 "16001","Ada, ID",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",198226,214349,220580,243946,195886,173215
 "16001","Ada, ID",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1453997,1464197,1549639,1746206,1926620,1856050
 "16001","Ada, ID",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3190553,3610397,3402269,3035316,2919954,3187188
 "16001","Ada, ID",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2658355,3109487,3011304,2648589,2526852,2767516
 "16001","Ada, ID",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",532198,500921,392470,386109,391263,417959
 "16001","Ada, ID",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2136169,2210700,2167730,2309745,2619462,2534361
 "16001","Ada, ID",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1928611,2051334,2243874,2295961,2352814,2271369
 "16001","Ada, ID",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",553024,623372,635219,577144,748715,805329
 "16001","Ada, ID",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",628809,637860,761156,721206,948238,1140570
 "16001","Ada, ID",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",4644844,5104641,5529504,5943576,6253951,6575655
 "16001","Ada, ID",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",1668401,1740833,1853236,2148588,2409248,2296554
 "16001","Ada, ID",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",2976443,3365723,3679324,3795552,3842766,4285558
 "16001","Ada, ID",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",3381610,3844733,4156154,4509662,5114287,5672838
 "16001","Ada, ID",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",1679880,1915785,2088501,2297373,2686386,2978546
 "16001","Ada, ID",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",500772,643811,752437,814029,884214,984631
 "16001","Ada, ID",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1200958,1286147,1319339,1403716,1549985,1717144
 "16001","Ada, ID",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",2795654,2945351,3131722,3058032,3343734,3604518
 "16001","Ada, ID",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",166911,185730,216938,226158,261303,288552
 "16001","Ada, ID",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",2628743,2759566,2914444,2831246,3081405,3314715
 "16001","Ada, ID",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1054906,1136032,1156342,946861,1171692,1370256
 "16001","Ada, ID",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",220339,248498,255271,197341,275217,309920
 "16001","Ada, ID",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",834567,887582,901142,749567,896675,1060006
 "16001","Ada, ID",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",502034,536728,578515,532172,603490,624559
 "16001","Ada, ID",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",3082307,3129018,3263420,3282801,3343904,3419319
 "16001","Ada, ID",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",111891,120763,109764,142594,134448,132698
 "16001","Ada, ID",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",4064780,4261637,4405639,4601029,4964736,4798367
 "16001","Ada, ID",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",751250,837699,855770,820827,942602,975041
 "16001","Ada, ID",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",3819362,4248864,4161004,3753116,3850668,4299080
 "16001","Ada, ID",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",4756441,5192964,5067336,4950999,5024121,5194670
 "16001","Ada, ID",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",17823887,19305273,20568283,21118936,23294633,24600696
 "16003","Adams, ID",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",116480,114243,119068,123845,139331,146458
 "16003","Adams, ID",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",90209,88484,92126,96133,111555,117417
 "16003","Adams, ID",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",5884,8940,7395,9004,8262,9566
 "16003","Adams, ID",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",0,0,0,0,(D),(D)
 "16003","Adams, ID",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),(D),(D),2354,1641,1646
 "16003","Adams, ID",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",6112,6365,6918,7212,8737,7963
 "16003","Adams, ID",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",13862,9859,8146,7501,6000,6376
 "16003","Adams, ID",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",12890,(D),7318,6800,5325,5601
 "16003","Adams, ID",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",972,(D),843,711,713,847
 "16003","Adams, ID",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),2854,2537
 "16003","Adams, ID",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",6898,7045,6999,7013,8224,7772
 "16003","Adams, ID",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1917,1316,1616,2105,2375,2153
 "16003","Adams, ID",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",3853,3658,5093,(D),(D),(D)
 "16003","Adams, ID",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",24031,23913,27434,26338,29764,33587
 "16003","Adams, ID",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3507,2633,2317,2482,3310,3570
 "16003","Adams, ID",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",20524,21302,25176,23907,26503,30082
 "16003","Adams, ID",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",4387,3845,3298,4797,8357,8318
 "16003","Adams, ID",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),1772,2235,3088,5858,5706
 "16003","Adams, ID",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),0,0,0,0
 "16003","Adams, ID",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1832,(D),1044,1674,2473,2574
 "16003","Adams, ID",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",6555,5690,5976,5210,4660,5364
 "16003","Adams, ID",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "16003","Adams, ID",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "16003","Adams, ID",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",10012,11215,12425,13972,16562,17468
 "16003","Adams, ID",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",7559,8585,9660,(D),13929,14389
 "16003","Adams, ID",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2453,2631,2765,(D),2612,3052
 "16003","Adams, ID",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",2240,2452,2582,(D),(D),(D)
 "16003","Adams, ID",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",26271,25759,26941,27714,27738,28993
 "16003","Adams, ID",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",5884,8940,7395,9004,(D),(D)
 "16003","Adams, ID",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),11081,10316
 "16003","Adams, ID",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),4470,4043,3821
 "16003","Adams, ID",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",17715,13482,13080,(D),(D),(D)
 "16003","Adams, ID",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",25857,25025,22377,23492,(D),(D)
 "16003","Adams, ID",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",64352,63463,69755,72648,(D),(D)
 "16005","Bannock, ID",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2801864,2802356,2868747,2904229,3001308,3109157
 "16005","Bannock, ID",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2223682,2222294,2277003,2329561,2425254,2513504
 "16005","Bannock, ID",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",5468,5036,7569,9953,4636,7946
 "16005","Bannock, ID",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1672,9504,3935,3517,5056,3560
 "16005","Bannock, ID",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",20368,19051,19324,21907,18923,17168
 "16005","Bannock, ID",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",134454,99714,118838,124612,166259,176913
