GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",832826821,851517192,857985023,810210057,852749076,864170938
 "17000","Illinois",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",751098679,770638298,776510566,731990327,774015748,785044686
 "17000","Illinois",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",5874266,6776143,5106376,6509632,9066911,9303273
 "17000","Illinois",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1855546,1888440,1752426,1391349,1268078,1542468
 "17000","Illinois",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",13610821,13653140,14059361,15046762,14368435,14125657
 "17000","Illinois",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",30646863,29497945,29310321,27787902,29123960,26595515
 "17000","Illinois",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",98647363,105875482,103766103,97205658,104938686,106199260
 "17000","Illinois",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",48437858,50751385,50560196,45756418,47072837,49268820
 "17000","Illinois",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",50209505,55100521,53195609,51499830,57899704,57099337
 "17000","Illinois",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",64344568,63794569,63441052,64866879,63929080,61978054
 "17000","Illinois",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",44654302,46173858,46658208,46182039,45527120,43888531
 "17000","Illinois",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",33106024,34918240,35143122,31478509,35201391,34958139
 "17000","Illinois",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",26933438,28457453,32142261,33165636,37824458,40491925
 "17000","Illinois",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",189629008,191125563,194446628,176415561,184184760,183622626
 "17000","Illinois",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",80789537,80604331,84421831,69403248,71036883,69751250
 "17000","Illinois",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",108839471,110538396,109974621,107102692,113276236,114039225
 "17000","Illinois",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",114422508,120280180,121449660,118333757,128474564,134855263
 "17000","Illinois",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",69457906,73672785,75060874,73580486,79947554,83956391
 "17000","Illinois",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",16783312,16972041,16337067,16376565,17137486,16995641
 "17000","Illinois",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",28181290,29627799,30013726,28391413,31329035,33684426
 "17000","Illinois",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",72579651,74509649,75043221,72220946,74311733,77443082
 "17000","Illinois",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",12554323,12604103,12692348,11660788,11632663,12411681
 "17000","Illinois",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",60025329,61906954,62352313,60571223,62697784,65046044
 "17000","Illinois",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",35158557,33826278,34682055,24324532,30476942,35124442
 "17000","Illinois",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",9476302,9741092,10172737,6155445,7949027,9655613
 "17000","Illinois",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",25682255,24088909,24515998,18165944,22527843,25500875
 "17000","Illinois",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",19635765,19988668,19672513,18042744,17456046,18632767
 "17000","Illinois",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",81728142,80889144,81484930,78196277,78831047,79229460
 "17000","Illinois",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",7729812,8655546,6875675,7875204,10289152,10784560
 "17000","Illinois",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",108998870,109953180,110064278,111042727,109450247,105856624
 "17000","Illinois",3,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",46716845,48569421,49199908,46509614,49489987,48996741
 "17000","Illinois",3,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",125580801,134341960,135737358,130083031,142322258,145931990
 "17000","Illinois",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",137024038,144009801,140045055,132844078,144316125,143507587
 "17000","Illinois",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",614074642,626628290,636440863,599145321,629787040,641720367
 "17001","Adams, IL",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",3422692,3502952,3502534,3260490,3552264,3548749
 "17001","Adams, IL",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",3133545,3217293,3213681,2999403,3288995,3289179
 "17001","Adams, IL",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",88616,104059,93553,104537,146411,149477
 "17001","Adams, IL",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",38162,40498,36000,34526,34602,41228
 "17001","Adams, IL",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",14375,14754,15578,17380,(D),12589
 "17001","Adams, IL",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",150527,158835,141230,125998,170066,116284
 "17001","Adams, IL",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",557886,587752,559297,484364,603987,707991
 "17001","Adams, IL",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",373056,413426,421963,353321,473580,562405
 "17001","Adams, IL",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",184830,174419,137579,131187,132858,149402
 "17001","Adams, IL",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",265783,259561,249725,256004,253279,240194
 "17001","Adams, IL",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",280725,285670,286540,281957,265292,255807
 "17001","Adams, IL",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",104452,105057,105182,110633,116240,104748
 "17001","Adams, IL",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",81531,76135,84293,86454,(D),98605
 "17001","Adams, IL",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",652000,635930,688955,572955,578939,570880
 "17001","Adams, IL",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",264605,261051,282441,212629,210095,216459
 "17001","Adams, IL",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",387395,374825,406465,360756,369345,354738
 "17001","Adams, IL",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",201515,220456,216058,224142,270481,182893
 "17001","Adams, IL",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",77633,80444,72725,66661,72502,74568
 "17001","Adams, IL",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",9180,16849,16022,16301,51099,10573
 "17001","Adams, IL",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",114701,123262,127338,141037,150527,97315
 "17001","Adams, IL",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",493924,524305,528569,520827,548810,610268
 "17001","Adams, IL",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",30274,29895,28094,25476,25039,26554
 "17001","Adams, IL",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",463650,494421,500514,495429,523893,583873
 "17001","Adams, IL",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",109945,108516,107299,86567,109707,124234
 "17001","Adams, IL",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",21767,21483,22243,17527,27618,35990
 "17001","Adams, IL",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",88177,87034,85063,69045,82147,88559
 "17001","Adams, IL",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",94103,96728,101044,95540,95852,100342
 "17001","Adams, IL",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",289147,285722,288876,261311,264160,260442
 "17001","Adams, IL",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",126779,144429,129410,138390,179566,188704
 "17001","Adams, IL",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",546508,545155,535932,537811,518298,495799
