GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",357535761,368762945,371044463,359184703,384051049,396009189
 "18000","Indiana",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",323635677,334113462,336590557,325207830,350677098,361775963
 "18000","Indiana",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3931793,4150748,3318386,4521513,5456391,5286554
 "18000","Indiana",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1392861,1259787,1102777,1063474,1063716,1311431
 "18000","Indiana",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",6720876,6527222,6682825,6885518,6784608,6319217
 "18000","Indiana",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",15743561,16173172,16636939,16620670,17371660,16453094
 "18000","Indiana",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",92861987,96563584,96470685,91456605,101223129,107823855
 "18000","Indiana",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",53918708,57169784,57405771,53311527,60066170,67936529
 "18000","Indiana",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",38943279,39410936,39088727,38156729,41228563,40628236
 "18000","Indiana",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",19857777,20756896,20523550,20828702,21047500,20478656
 "18000","Indiana",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",21327563,21789305,21642284,21871846,21975555,21367430
 "18000","Indiana",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",13021294,13191246,13065514,13173376,14383353,13869419
 "18000","Indiana",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",6492047,6317968,6730622,6324038,7118171,7678813
 "18000","Indiana",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",56885449,58522111,60378499,56479064,60357333,62652506
 "18000","Indiana",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",21097245,20862187,22534471,18756052,19804068,20277088
 "18000","Indiana",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",35788204,37673816,37839978,37736186,40567689,42393805
 "18000","Indiana",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",30100974,31895802,32876207,32490241,36887893,39987693
 "18000","Indiana",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",15221311,16344070,16949542,17020649,19381140,21334345
 "18000","Indiana",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",4645039,4813726,5014146,5062960,5708418,6204002
 "18000","Indiana",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",10234625,10737436,10916598,10430700,11823784,12505757
 "18000","Indiana",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",33747596,34557779,35556238,34762493,36349087,38056511
 "18000","Indiana",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",3715117,3781236,3830939,3424390,3551539,3805190
 "18000","Indiana",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",30032479,30776668,31726271,31345377,32805811,34258214
 "18000","Indiana",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",13386696,13974583,13151476,10816903,13139313,14012242
 "18000","Indiana",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",3890989,4033640,4060853,3066393,3571266,3942267
 "18000","Indiana",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",9495706,9940811,9093681,7750385,9564533,10074831
 "18000","Indiana",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",8165203,8438531,8424214,8013859,8116877,8230512
 "18000","Indiana",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",33900084,34650597,34459539,33961006,33483047,34349342
 "18000","Indiana",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",5324654,5404298,4422539,5554355,6479628,6531247
 "18000","Indiana",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",41185340,42549510,42166909,42703133,43024441,41847234
 "18000","Indiana",3,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",19742169,19719658,19746661,20053834,21165602,20184445
 "18000","Indiana",3,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",99354033,102890818,103192929,97774348,108328281,115473270
 "18000","Indiana",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",113930202,118143729,117600397,113681441,125059062,130507558
 "18000","Indiana",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",209705475,215969355,218975069,211517221,225743523,231446898
 "18001","Adams, IN",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1729030,1764093,1815301,1669723,1757569,1805835
 "18001","Adams, IN",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1582678,1609860,1655353,1513126,1600711,1643778
 "18001","Adams, IN",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",182754,200699,(D),124541,157600,171506
 "18001","Adams, IN",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3461,3127,2367,3501,3883,4306
 "18001","Adams, IN",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",2762,2387,(D),3352,3073,2809
 "18001","Adams, IN",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",158935,164714,175963,155407,156496,155914
 "18001","Adams, IN",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",686373,685387,777569,689986,692213,691991
 "18001","Adams, IN",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",455939,455125,440864,416870,462229,522677
 "18001","Adams, IN",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",230434,230262,335451,273108,234495,181971
 "18001","Adams, IN",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",65795,66243,(D),62745,71629,81554
 "18001","Adams, IN",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",92747,97155,96099,97732,97203,94584
 "18001","Adams, IN",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),39769,(D),(D),(D)
 "18001","Adams, IN",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",42567,47098,41791,42012,60762,69124
 "18001","Adams, IN",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",156707,149625,138266,133317,140279,(D)
 "18001","Adams, IN",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",44703,42526,43194,38755,39190,37178
 "18001","Adams, IN",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",112004,107104,94909,94473,101021,(D)
 "18001","Adams, IN",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),(D),43465,(D),(D),76281
 "18001","Adams, IN",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "18001","Adams, IN",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "18001","Adams, IN",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",20912,22342,21832,25815,39238,48575
 "18001","Adams, IN",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",58153,57550,58770,52513,52280,52227
 "18001","Adams, IN",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",14302,14325,14632,13242,14284,15386
 "18001","Adams, IN",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",43851,43224,44138,39269,37985,36821
 "18001","Adams, IN",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",22863,23593,23159,20069,23101,23370
 "18001","Adams, IN",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",1915,2052,2232,1595,2586,3373
 "18001","Adams, IN",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",20948,21541,20928,18473,20531,20060
 "18001","Adams, IN",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",31708,32687,31597,30356,29404,29037
 "18001","Adams, IN",3,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",146352,154162,159836,156068,156761,161947
 "18001","Adams, IN",3,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",186215,203796,(D),128231,161691,176030
 "18001","Adams, IN",3,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",158542,163377,(D),160363,168601,175702
 "18001","Adams, IN",3,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "18001","Adams, IN",3,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",728940,732471,819561,731948,752063,759771
 "18001","Adams, IN",3,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",1031523,1053699,(D),977621,1016208,1034717
 "18001","Adams, IN",3,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",551155,556242,(D),534867,582684,606589
 "18003","Allen, IN",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",21046574,21752088,21895602,20233354,21550466,22287820
 "18003","Allen, IN",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",19498995,20190367,20351765,18686559,20020374,20724217
 "18003","Allen, IN",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",62234,(D),52893,58691,86580,72317
 "18003","Allen, IN",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",22964,20606,15547,20049,23371,21880
 "18003","Allen, IN",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",62813,(D),67252,77226,63960,51724
 "18003","Allen, IN",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1083765,1130120,1198786,1209117,1282408,1180832
 "18003","Allen, IN",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3654237,3979479,4092042,3526436,3921085,4250660
 "18003","Allen, IN",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2892625,3212590,3328300,2827869,3143341,3474568
 "18003","Allen, IN",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",761611,766990,764232,697332,776399,784581
 "18003","Allen, IN",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1626761,1732933,1712342,1710270,1664568,1614328
 "18003","Allen, IN",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1404482,1460416,1467175,1595822,1729070,1745700
 "18003","Allen, IN",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",757768,749828,735268,750265,841008,850325
 "18003","Allen, IN",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",566040,(D),566255,481624,500200,527336
 "18003","Allen, IN",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",4487071,4335937,4242849,3279420,3516677,3763895
 "18003","Allen, IN",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",2831845,2615528,2601165,1807568,1862829,2018738
 "18003","Allen, IN",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",1655226,1721651,1642729,1471601,1652679,1744350
 "18003","Allen, IN",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",1610808,1747228,1767739,1727372,1938792,2065890
 "18003","Allen, IN",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",759970,824854,840351,816455,890839,976793
 "18003","Allen, IN",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",279171,317944,328963,338135,400681,378177
 "18003","Allen, IN",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",571667,604670,599164,574961,651169,708908
