GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",530129429,549262072,566706170,556196418,591911488,604357731
 "25000","Massachusetts",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",476636835,494823406,512286027,503945472,540156568,551926156
 "25000","Massachusetts",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",839425,838467,885410,830533,825332,752951
 "25000","Massachusetts",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",193813,176229,225502,173422,119360,93983
 "25000","Massachusetts",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",6945918,7287232,7672340,9455123,9707121,11261470
 "25000","Massachusetts",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",20870997,21578907,22123503,20824254,21919893,19968618
 "25000","Massachusetts",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",46542222,49455438,48971721,48479114,51005845,50102015
 "25000","Massachusetts",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",29281089,30206004,29668288,28077367,29498685,28723479
 "25000","Massachusetts",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",17261132,19240070,19290609,20387091,21489786,21338113
 "25000","Massachusetts",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",27287895,26308807,25778925,25930264,26897627,25649086
 "25000","Massachusetts",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",23467686,24589064,25897168,24230730,24868684,23987268
 "25000","Massachusetts",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",10714165,10799896,11363689,9303932,10481006,10750523
 "25000","Massachusetts",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",27916241,29163718,32961708,35069971,39628581,42049561
 "25000","Massachusetts",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",116875897,120365676,121931789,124419287,128405396,132301090
 "25000","Massachusetts",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",47642899,48469266,47937914,50350917,49417699,50493518
 "25000","Massachusetts",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",69232998,71909594,74046376,74080825,79131238,81978562
 "25000","Massachusetts",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",93919004,102012125,109366451,112787595,127238426,131551671
 "25000","Massachusetts",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",67408944,73077055,79117203,83645190,96017566,99018144
 "25000","Massachusetts",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",11757145,13497348,14101030,14149999,14623048,14780244
 "25000","Massachusetts",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",14752915,15447587,16157513,15053167,16604995,17682299
 "25000","Massachusetts",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",68178643,68355744,70351522,68176022,70995754,72530478
 "25000","Massachusetts",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",16289570,16554621,17049107,16111283,16242511,17090007
 "25000","Massachusetts",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",51889073,51800071,53301195,52070220,54768836,55449062
 "25000","Massachusetts",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",22393291,22959112,23979514,15308464,19557699,22940558
 "25000","Massachusetts",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",6396774,6577787,6664180,3825755,5138636,6538631
 "25000","Massachusetts",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",15996517,16381450,17311695,11476513,14415223,16431518
 "25000","Massachusetts",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",10491638,11009831,11186235,9928670,10469431,10687107
 "25000","Massachusetts",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",53492594,54444534,54450246,52314405,51978785,52672702
 "25000","Massachusetts",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",1033238,1014445,1111866,1003796,942760,844327
 "25000","Massachusetts",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",50755581,50883510,51618568,50135313,51737084,49612415
 "25000","Massachusetts",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",17660084,18088208,19037181,18782883,20185628,22078094
 "25000","Massachusetts",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",74458462,78623937,81838851,83377602,90319509,91553788
 "25000","Massachusetts",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",68446456,72044341,72223706,70271782,73831459,70743724
 "25000","Massachusetts",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",408190379,422782408,440053237,433660289,466295993,481243111
 "25001","Barnstable, MA",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",12764776,13042121,13537095,12654827,13490964,13771725
 "25001","Barnstable, MA",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",10845566,11096548,11594021,10784071,11633230,11912154
 "25001","Barnstable, MA",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),59113,66578,45645,41648
 "25001","Barnstable, MA",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",15855,15590,21170,16629,11866,9584
 "25001","Barnstable, MA",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",60250,78111,99362,110705,97908,226636
 "25001","Barnstable, MA",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",908472,920587,924664,839641,874344,816766
 "25001","Barnstable, MA",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",(D),(D),390640,395737,408385,405174
 "25001","Barnstable, MA",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",182481,191598,(D),211496,226913,230458
 "25001","Barnstable, MA",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),(D),(D),184151,181765,175526
 "25001","Barnstable, MA",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",300528,289695,288014,287301,284869,261555
 "25001","Barnstable, MA",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",987517,1020869,1060285,986958,1035634,892148
 "25001","Barnstable, MA",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",265209,263459,275933,255100,282110,249560
 "25001","Barnstable, MA",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",277987,274412,290211,274792,296712,321525
 "25001","Barnstable, MA",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",3562529,3633527,3881330,3775627,4042074,4263408
 "25001","Barnstable, MA",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",465200,463594,466313,480814,486148,474355
 "25001","Barnstable, MA",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",3097329,3170243,3416775,3295643,3557775,3793710
 "25001","Barnstable, MA",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",1016673,1077551,1140443,1138770,1291131,1373766
 "25001","Barnstable, MA",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",619055,659879,695649,718275,821765,878058
 "25001","Barnstable, MA",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",27169,28627,31333,33591,43365,50635
 "25001","Barnstable, MA",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",370449,389051,413483,387766,427964,448120
 "25001","Barnstable, MA",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",1467613,1474166,1498198,1404540,1410970,1419889
 "25001","Barnstable, MA",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",94349,90221,94603,85142,94087,96963
 "25001","Barnstable, MA",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",1373264,1383966,1403582,1319440,1316778,1322787
 "25001","Barnstable, MA",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1213391,1216490,1271294,887895,1191722,1289527
 "25001","Barnstable, MA",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",247706,248098,263387,181856,256302,299855
 "25001","Barnstable, MA",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",965686,968391,1007934,706097,935134,989786
 "25001","Barnstable, MA",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",376242,390981,393727,352378,371826,377454
 "25001","Barnstable, MA",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",1919210,1945633,1943548,1870523,1859795,1861512
 "25001","Barnstable, MA",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",(D),(D),80431,83109,57469,51098
 "25001","Barnstable, MA",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",1288045,1310343,1347602,1274113,1320603,1153428
 "25001","Barnstable, MA",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",325459,341527,374998,365620,378585,479630
 "25001","Barnstable, MA",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",(D),(D),680918,671146,705092,724406
 "25001","Barnstable, MA",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",1317627,1377605,1395010,1315241,1337441,1268312
 "25001","Barnstable, MA",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",9527939,9718960,10199176,9468844,10296269,10647564
 "25003","Berkshire, MA",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",7025430,7117760,6998340,6766260,6896795,6927750
 "25003","Berkshire, MA",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",6260156,6331044,6225287,6032943,6177846,6195250
 "25003","Berkshire, MA",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),(D),10389,15417
 "25003","Berkshire, MA",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",10960,10100,12227,9928,(D),(D)
 "25003","Berkshire, MA",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",82372,64804,66944,81024,72855,82255
 "25003","Berkshire, MA",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",(D),(D),337306,308735,306157,278401
 "25003","Berkshire, MA",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1051752,1094788,981713,960873,980770,945501
 "25003","Berkshire, MA",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",298424,261400,277297,257214,254070,247774
 "25003","Berkshire, MA",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",753328,833074,704012,703736,726728,697928
 "25003","Berkshire, MA",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",131242,129187,136026,130695,136784,161966
 "25003","Berkshire, MA",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",461188,452224,467482,434567,454024,401897
 "25003","Berkshire, MA",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",112825,133692,180149,189451,185270,177232
 "25003","Berkshire, MA",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",1411457,1451260,1389174,1472288,1394184,(D)
 "25003","Berkshire, MA",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",376568,378695,381464,404058,371552,356176
 "25003","Berkshire, MA",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",1034889,1072747,1007249,1067746,1022290,(D)
 "25003","Berkshire, MA",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",632500,667385,663975,672347,749192,796118
 "25003","Berkshire, MA",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",431969,470938,465786,475349,538218,582760
 "25003","Berkshire, MA",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",26234,23372,22468,24925,24385,28726
 "25003","Berkshire, MA",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",174297,173049,175619,172276,186782,186010
 "25003","Berkshire, MA",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",1217578,1232060,1238890,1191239,1196959,1221424
 "25003","Berkshire, MA",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",298616,301671,301108,281091,277915,289519
 "25003","Berkshire, MA",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",918962,930391,937802,910251,919197,932019
 "25003","Berkshire, MA",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",483521,472607,489185,342221,438505,495114
 "25003","Berkshire, MA",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",145002,146346,142471,93564,128020,157698
 "25003","Berkshire, MA",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",338519,326298,346568,248586,310300,337924
 "25003","Berkshire, MA",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",182830,186661,186640,164973,179186,185914
 "25003","Berkshire, MA",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",765274,786664,773007,733608,720139,733654
 "25003","Berkshire, MA",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",592430,581416,603604,565463,591015,563163
 "25003","Berkshire, MA",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "25003","Berkshire, MA",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",1164577,1228232,1159410,1147296,1163617,1120603
