GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",63000596,64806287,66351151,67420598,70869930,72413523
 "23000","Maine",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",54614966,56442887,58020972,59135519,62437695,63783228
 "23000","Maine",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",909589,894061,914397,877768,870356,966118
 "23000","Maine",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",44877,51446,37144,67636,52275,33321
 "23000","Maine",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",992187,965827,962410,1045000,987409,1070966
 "23000","Maine",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2208606,2256082,2283869,2273390,2409195,2270948
 "23000","Maine",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",5933666,6097337,6271529,6684118,6817230,6837745
 "23000","Maine",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2913169,3102735,3063877,3106018,3390726,3462850
 "23000","Maine",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3020498,2994774,3208368,3583449,3423797,3371319
 "23000","Maine",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",3420105,3455307,3424997,3516263,3536342,3263651
 "23000","Maine",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",5347882,5545729,5741068,5858750,5883797,5789183
 "23000","Maine",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1458594,1416885,1404389,1380204,1473924,1405585
 "23000","Maine",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1116952,1244364,1327999,1300248,1521615,1678125
 "23000","Maine",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",13422712,13857448,14218099,15665872,16015036,16313301
 "23000","Maine",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",4215566,4183275,4342847,4813507,4872959,4707727
 "23000","Maine",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",9207147,9677431,9877076,10853929,11144069,11614861
 "23000","Maine",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",6427800,6964676,7344705,7567718,8713300,9528183
 "23000","Maine",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",3383752,3679073,3883167,3969833,4485555,4866585
 "23000","Maine",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1159177,1303678,1519092,1611670,2206992,2396655
 "23000","Maine",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1884871,1982675,1950600,1997829,2074067,2317504
 "23000","Maine",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",8437760,8626402,8973144,8958953,9214539,9392304
 "23000","Maine",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1006250,1043260,1108004,1011057,1023244,1094820
 "23000","Maine",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",7431510,7583080,7864826,7948942,8192643,8298196
 "23000","Maine",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",3476876,3598890,3655878,2576710,3595023,4032628
 "23000","Maine",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",635241,669983,686053,513000,688019,881473
 "23000","Maine",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2841635,2928971,2969962,2063664,2907039,3156524
 "23000","Maine",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",1417359,1474191,1483616,1394628,1459025,1472325
 "23000","Maine",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",8385630,8364627,8333666,8292480,8446803,8645433
 "23000","Maine",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",954466,945672,950977,946624,922880,998345
 "23000","Maine",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",8767987,9000275,9160943,9370218,9415258,9052007
 "23000","Maine",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",2450781,2382708,2366756,2423660,2459887,2476424
 "23000","Maine",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",7050618,7340222,7596271,7986608,8324514,8479465
 "23000","Maine",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",9096739,9299437,9506385,9899408,10149624,10105364
 "23000","Maine",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",45518228,47143109,48513757,49238383,52286390,53679434
 "23001","Androscoggin, ME",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",4503370,4703346,4811181,5018298,5044783,4975728
 "23001","Androscoggin, ME",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",4095737,4287467,4398650,4610408,4630147,4545266
 "23001","Androscoggin, ME",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",94985,129072,79413,83903,93833,132299
 "23001","Androscoggin, ME",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",5869,9006,7570,15056,13201,8631
 "23001","Androscoggin, ME",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",62883,61613,66551,74864,61086,67102
 "23001","Androscoggin, ME",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",188734,199482,193353,202898,188458,173838
 "23001","Androscoggin, ME",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",495748,496619,514500,543558,552789,553837
 "23001","Androscoggin, ME",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",139051,141926,147103,153138,153302,145514
 "23001","Androscoggin, ME",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",356697,354649,367350,390399,399568,409314
 "23001","Androscoggin, ME",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",190393,194927,193844,209589,199599,186492
 "23001","Androscoggin, ME",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",411339,428490,461567,502738,536609,484042
 "23001","Androscoggin, ME",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",216449,259330,270254,293127,296941,265537
 "23001","Androscoggin, ME",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",104434,113945,121279,117536,133707,142687
 "23001","Androscoggin, ME",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",776334,794155,834005,957981,825914,807756
 "23001","Androscoggin, ME",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",254950,234329,246212,268400,286168,261353
 "23001","Androscoggin, ME",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",521384,560430,588424,690594,540073,547508
 "23001","Androscoggin, ME",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",500382,534199,549342,563958,592519,615863
 "23001","Androscoggin, ME",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",233284,239606,244177,243172,256511,278637
 "23001","Androscoggin, ME",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",100356,115204,124277,141978,141779,137934
 "23001","Androscoggin, ME",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",166742,179484,181254,180330,194917,199233
 "23001","Androscoggin, ME",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",821451,827065,855093,834449,890688,851682
 "23001","Androscoggin, ME",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",105344,111817,119739,119956,124652,128084
 "23001","Androscoggin, ME",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",716107,715228,735299,714406,765985,723488
 "23001","Androscoggin, ME",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",137504,149832,160144,122242,155251,168644
 "23001","Androscoggin, ME",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",12246,14340,16267,12522,16400,20575
 "23001","Androscoggin, ME",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",125258,135495,143887,109729,138872,148259
 "23001","Androscoggin, ME",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",89231,90393,88430,83857,87877,89409
 "23001","Androscoggin, ME",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",407632,415930,412720,408674,415294,431419
 "23001","Androscoggin, ME",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",100854,138119,87196,100006,107979,142894
 "23001","Androscoggin, ME",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",601732,623385,654861,711693,735886,670107
 "23001","Androscoggin, ME",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",279332,321017,336846,367959,358108,332680
 "23001","Androscoggin, ME",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",600183,610444,635546,661325,685608,694418
 "23001","Androscoggin, ME",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",785337,833392,797382,848067,850030,877909
 "23001","Androscoggin, ME",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",3310400,3454137,3600380,3761720,3779458,3665753
 "23003","Aroostook, ME",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2535379,2579493,2574766,2606029,2599922,2633769
 "23003","Aroostook, ME",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2074263,2118474,2119531,2155281,2132960,2163437
 "23003","Aroostook, ME",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),172707,136996,153785,179852
 "23003","Aroostook, ME",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",0,0,0,0,0,(D)
 "23003","Aroostook, ME",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),(D),64744,65240,52674,(D)
 "23003","Aroostook, ME",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",64157,62313,59767,65487,61339,58161
 "23003","Aroostook, ME",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",325129,358121,311588,357044,311167,305596
 "23003","Aroostook, ME",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",139977,152237,112196,133561,128811,122441
 "23003","Aroostook, ME",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",185152,205917,200188,223825,178757,181377
 "23003","Aroostook, ME",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),(D),83973,87699,83750,(D)
 "23003","Aroostook, ME",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",238172,250186,260302,273483,261030,265224
 "23003","Aroostook, ME",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",112585,96649,93481,94206,104707,97757
 "23003","Aroostook, ME",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",41061,43597,45508,42255,47700,51921
 "23003","Aroostook, ME",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",435164,443521,469738,492625,498322,503693
 "23003","Aroostook, ME",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",127578,126444,135208,151519,151927,147069
 "23003","Aroostook, ME",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",307586,317143,334564,341036,346323,356656
 "23003","Aroostook, ME",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",85767,90365,90679,85794,97361,110327
 "23003","Aroostook, ME",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",38472,39346,39544,39635,44577,51840
 "23003","Aroostook, ME",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",17911,19209,20269,20537,24776,24335
 "23003","Aroostook, ME",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",29384,31813,30921,25870,28466,34127
 "23003","Aroostook, ME",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",336183,339508,348708,353213,347907,340475
 "23003","Aroostook, ME",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",14707,14735,15172,13613,13295,14145
 "23003","Aroostook, ME",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",321476,324773,333537,339615,334628,326339
