GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",505101516,516842963,517845213,502483729,531499956,539898171
 "26000","Michigan",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",452276319,464497338,464721548,450776651,479566711,486184031
 "26000","Michigan",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3120756,3292377,2967105,3670378,3858422,3786762
 "26000","Michigan",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1396032,1326142,1378276,1562381,1550873,1369182
 "26000","Michigan",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",9805631,9550962,9771506,10321475,9204632,9120834
 "26000","Michigan",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",18720044,19043792,18401645,17595084,18728459,17824917
 "26000","Michigan",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",93889717,96886206,94888982,89381070,99264488,100122516
 "26000","Michigan",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",72259726,74160385,72186523,65781630,76776035,78538689
 "26000","Michigan",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",21629991,22719607,22684379,23545734,22739729,22041563
 "26000","Michigan",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",34223830,34452702,33881524,33541855,32920417,31079324
 "26000","Michigan",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",32041167,33352657,33490575,32740703,33536812,32465004
 "26000","Michigan",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",13474600,14216226,14510570,13765052,15079872,15088574
 "26000","Michigan",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",12525918,13071257,14516457,14459027,16204472,17571941
