GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",6827152,7141273,7426609,7354374,7573774,7894587
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",5378066,5697592,5993754,5895951,6113028,6445828
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),20398,(D),(D),31482,20664
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",230757,272878,262675,211558,192238,212447
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),168279,(D),(D),(D),242625
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",325608,352937,361931,343200,329164,325861
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",298648,327209,309280,282060,298182,318120
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",165415,(D),163224,152974,160142,167806
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",133233,(D),146092,129059,137998,150230
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),476483
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",606123,652930,679756,663933,672626,658164
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",171635,182430,197246,181434,154464,146967
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",(D),(D),246750,266194,284970,315959
