GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",48470545,49454951,50318918,50159556,52952018,53983386
 "30000","Montana",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",41114758,42221184,42993944,42875701,45549602,46531728
 "30000","Montana",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1383649,1804894,1955296,1833884,1069755,1625302
 "30000","Montana",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",1593289,1591210,1664017,1979582,1988212,1752843
 "30000","Montana",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1107688,1022615,1073648,1119955,1019408,944117
 "30000","Montana",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2677144,2759265,2793908,2908145,3163381,3176054
 "30000","Montana",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3251994,3194044,2821045,2471549,2696050,2503759
 "30000","Montana",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1062095,1027955,1031722,1052335,1155756,1199662
 "30000","Montana",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",2189900,2164984,1801286,1412596,1532732,1323466
 "30000","Montana",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",2676640,2768258,2727807,2805914,2897106,2739608
 "30000","Montana",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",3449918,3598986,3760253,3806082,3758632,3591941
 "30000","Montana",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",2235902,2298586,2218486,2046031,2319990,2341990
 "30000","Montana",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1153954,1164306,1241130,1292521,1590994,1748514
 "30000","Montana",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",9066553,9179481,9440917,9596584,10242118,10478279
 "30000","Montana",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",2429920,2358850,2459614,2511692,2684314,2664666
 "30000","Montana",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",6636633,6823314,6982597,7085884,7558786,7818891
 "30000","Montana",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",3634479,3812913,4044682,4226778,4931430,5561321
 "30000","Montana",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",2397738,2506665,2701192,2859533,3285939,3727869
 "30000","Montana",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",220555,228742,242325,260165,329442,308301
 "30000","Montana",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1016186,1077430,1101839,1109712,1319688,1520654
 "30000","Montana",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",5287809,5365127,5550800,5525131,5848235,6012554
 "30000","Montana",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",262271,267774,272253,251924,283041,305279
