GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",81179571,82269495,84031186,83182099,89890076,90150471
 "33000","New Hampshire",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",72452690,73617957,75337456,74741594,81441146,81620808
 "33000","New Hampshire",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",249366,222756,236287,240231,202322,137637
 "33000","New Hampshire",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",87515,154923,145904,128414,104235,116057
 "33000","New Hampshire",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1329799,1293006,1231886,1326747,1215071,1195739
 "33000","New Hampshire",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2561013,2602348,2687775,2454105,2702353,2547087
 "33000","New Hampshire",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",8187444,8265906,8339433,8199960,9138558,8750543
 "33000","New Hampshire",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",6104874,6140204,6143782,5991453,6888428,6614737
 "33000","New Hampshire",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",2082570,2125621,2195450,2208598,2253563,2140393
 "33000","New Hampshire",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",5384400,5426517,5392658,5686321,5925040,5758080
 "33000","New Hampshire",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",5921788,6105125,6299630,6320960,6293799,6159910
 "33000","New Hampshire",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1210525,1252992,1165347,1267702,1452258,1398292
 "33000","New Hampshire",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",3052261,3221919,3705768,3691663,3982969,4462232
 "33000","New Hampshire",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",18494104,18073193,18267842,18732463,18622214,19440216
 "33000","New Hampshire",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",6616149,6792297,7093139,6542419,6153504,6339380
 "33000","New Hampshire",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",11877956,11275793,11165311,12188992,12476002,13110093
 "33000","New Hampshire",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",10563462,10940134,11343876,11739285,16079263,15134427
 "33000","New Hampshire",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",6340065,6667056,6994784,7397507,8565343,9536736
 "33000","New Hampshire",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",1320140,1293362,1386534,1424169,4567179,1960509
 "33000","New Hampshire",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",2903256,2979404,2966808,2928922,3178543,3625519
 "33000","New Hampshire",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",9411789,9689878,10024741,9825015,10082805,10404255
 "33000","New Hampshire",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1873369,1941234,2016423,1918356,1951735,2061586
