GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",93210058,96077043,100446232,97511896,99572348,101315019
 "35000","New Mexico",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",70331669,73237919,77191109,74310359,76114239,77274677
 "35000","New Mexico",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",1438650,1426250,1418806,1297875,1073091,1172844
 "35000","New Mexico",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",6293731,7386831,9328914,9018821,8045824,8316445
 "35000","New Mexico",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1650080,1574658,1626407,1735517,1678016,1476636
 "35000","New Mexico",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3748240,3884502,4129642,4035340,4001038,3711768
 "35000","New Mexico",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3555418,3683712,4216595,3845453,3784797,3692685
 "35000","New Mexico",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1697272,1789228,1829895,1785926,1913621,1913032
 "35000","New Mexico",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1858145,1896392,2375777,2044366,1855053,1769473
 "35000","New Mexico",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",3189605,3190058,3266912,3143827,3053006,2887560
 "35000","New Mexico",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",5935726,6218665,6314594,6138409,6137130,5401040
 "35000","New Mexico",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",2623431,2821962,2775170,2547581,2761267,2854544
 "35000","New Mexico",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",2617482,2587847,2595831,2236109,2826736,3108314
 "35000","New Mexico",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",15045210,15233099,15088144,15184137,15537628,16020452
 "35000","New Mexico",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",3281128,3313732,3255615,3583935,3656734,3702229
 "35000","New Mexico",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",11764082,11919605,11833573,11595892,11876624,12315752
 "35000","New Mexico",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",10146822,10672043,11337036,11601492,12384398,13416737
 "35000","New Mexico",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",7072025,7407242,7845860,8148300,8616403,9230105
