GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",163199058,168638546,175771275,165793855,181102920,187226240
 "32000","Nevada",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",145653316,151043325,157602003,147994874,163092588,168738945
 "32000","Nevada",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",285115,299537,363399,316149,338999,164573
 "32000","Nevada",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",4027741,3367180,3501321,4559437,4304807,3329137
 "32000","Nevada",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",2383429,2248915,2342126,2373991,2187338,2556653
 "32000","Nevada",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",10717362,11614305,12882383,13537715,14069861,13588438
 "32000","Nevada",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",7080999,7400997,7571378,7525450,8168655,8581267
 "32000","Nevada",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",5087838,5299412,5441374,5451376,5956893,6175611
 "32000","Nevada",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1993161,2101514,2129847,2073043,2210870,2401057
 "32000","Nevada",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",6999035,7354866,7354366,7442320,7266608,6999912
 "32000","Nevada",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",11811519,12501824,13135991,12888463,12636212,12054125
 "32000","Nevada",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",7430445,7499051,7625841,5996562,8209013,8867993
 "32000","Nevada",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",4194334,4628920,5458016,5033693,6546926,6626039
 "32000","Nevada",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",31854607,33543679,34633870,35818189,38406032,38912319
 "32000","Nevada",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",8383854,8724927,9442362,10753679,11721629,11030611
 "32000","Nevada",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",23470753,24821536,25177021,25025298,26639352,27868715
 "32000","Nevada",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",17375454,18820790,19306798,18625599,21810033,24438331
 "32000","Nevada",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",7786152,8074198,8552749,8428029,9706164,10611059
 "32000","Nevada",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",4222667,4980392,4819037,4809767,6084580,6886306
 "32000","Nevada",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",5366635,5771410,5928663,5399698,6083680,7010073
 "32000","Nevada",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",10773790,11278348,11887788,11659404,12441676,13166138
 "32000","Nevada",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",806155,907038,962313,891397,1016565,1112299
 "32000","Nevada",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",9967636,10370907,10924943,10768768,11424109,12051824
 "32000","Nevada",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",27703953,27377616,28432053,19374423,24249146,27253061
 "32000","Nevada",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",4513084,4573017,5327929,3785846,4470972,5098475
 "32000","Nevada",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",23190869,22805517,23115982,15591706,19798391,22178055
 "32000","Nevada",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",3015533,3133108,3167624,2761736,2935000,3286034
 "32000","Nevada",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",17545742,17597197,18172383,17786038,18045185,18524038
 "32000","Nevada",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",4312856,3664662,3858725,4882273,4648934,3486786
 "32000","Nevada",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",18810554,19856234,20478961,20324351,19896897,19047129
 "32000","Nevada",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",9813874,9746488,9967071,8378878,10349177,11392558
 "32000","Nevada",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",11275333,12027569,13005616,12552497,14644131,15156186
 "32000","Nevada",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",22111217,22679953,24325677,25934512,26858375,25495149
 "32000","Nevada",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",123542099,128363308,133273245,122005873,136216546,143367103
 "32001","Churchill, NV",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1071321,1079559,1130349,1144478,1188779,1145309
 "32001","Churchill, NV",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",783279,809951,852374,843497,859391,827380
 "32001","Churchill, NV",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),74474,58102,20732
 "32001","Churchill, NV",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3537,3756,3877,2855,7245,5512
 "32001","Churchill, NV",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),(D),(D),65567,60748,62594
 "32001","Churchill, NV",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",60220,77380,80598,89673,83525,91567
 "32001","Churchill, NV",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",65695,71913,86725,90455,104419,97125
 "32001","Churchill, NV",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",50909,52285,55770,59623,73802,74115
 "32001","Churchill, NV",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",14787,19403,30199,30024,29776,23136
 "32001","Churchill, NV",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",25406,25362,23495,24604,19275,18016
 "32001","Churchill, NV",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",66918,70742,71933,71964,70425,65946
 "32001","Churchill, NV",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",86607,84055,77428,79270,77661,79294
 "32001","Churchill, NV",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",10660,10308,11991,13753,19746,22026
 "32001","Churchill, NV",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",140066,141410,149944,148407,149915,152413
 "32001","Churchill, NV",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",22655,20517,30265,27114,32436,32277
 "32001","Churchill, NV",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",117412,120981,119273,120992,117083,119777
 "32001","Churchill, NV",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),(D),(D),55211,65190,76859
 "32001","Churchill, NV",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",22203,24386,22805,25953,32884,39721
 "32001","Churchill, NV",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),811,993,1013
 "32001","Churchill, NV",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",29689,31723,29315,28549,31581,36503
 "32001","Churchill, NV",8,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",66231,67964,70242,70906,72258,74735
 "32001","Churchill, NV",8,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",3930,4380,4640,(D),(D),(D)
 "32001","Churchill, NV",8,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",62301,63583,65598,(D),(D),(D)
 "32001","Churchill, NV",8,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",54250,52620,53457,41341,58347,57268
 "32001","Churchill, NV",8,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",26243,23198,21886,16223,24227,19962
 "32001","Churchill, NV",8,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",28007,29420,31571,25134,34117,37216
 "32001","Churchill, NV",8,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",15665,16163,15887,14749,14796,15832
 "32001","Churchill, NV",8,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",288043,269711,278123,300764,329227,317873
 "32001","Churchill, NV",8,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",(D),(D),(D),77280,64647,25042
 "32001","Churchill, NV",8,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",92324,96090,95335,96501,89708,83970
 "32001","Churchill, NV",8,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),144899,138567,142040
 "32001","Churchill, NV",8,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",76355,82275,98815,104224,123789,118059
 "32001","Churchill, NV",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",(D),(D),(D),259257,253964,209600
 "32001","Churchill, NV",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",(D),(D),(D),585088,606031,620387
 "32003","Clark, NV",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",116332382,122721414,128047468,117201658,129198324,135989358
 "32003","Clark, NV",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",104417367,110727430,115606807,105009122,116828409,123185640
 "32003","Clark, NV",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",11254,14890,7444,8525,11107,12321
 "32003","Clark, NV",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",90997,76100,85010,102074,81760,74758
 "32003","Clark, NV",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1683706,1524313,1559256,1625558,1464417,1651612
 "32003","Clark, NV",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",6959647,8058443,9327813,9651619,10024666,9806210
 "32003","Clark, NV",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3439708,3529425,3463791,3237056,3351380,3738984
 "32003","Clark, NV",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2362382,2411833,2358811,2182354,2214868,2457710
