GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "36000","New York",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1624800665,1665186762,1709750685,1650567241,1724472246,1763524631
 "36000","New York",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1461067182,1490874777,1534263522,1482336855,1553197048,1592899681
 "36000","New York",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2819216,2654858,3066132,2818162,2854749,3177653
 "36000","New York",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",688361,716613,742105,822503,776009,634263
 "36000","New York",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",22186792,22814254,23216180,26419268,24904243,22842576
 "36000","New York",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",53737510,54280347,54122939,48652621,49791980,44925063
 "36000","New York",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",69419592,68167854,72599054,68229501,70824029,70400211
 "36000","New York",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",34319219,34191743,34428321,31129971,31936302,32480876
 "36000","New York",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",35100372,33977844,38164423,37095786,38872966,37947857
 "36000","New York",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",72209175,72092852,70952279,67574783,66170105,62360291
 "36000","New York",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",77327356,79661542,81799758,75056418,74311137,72434113
 "36000","New York",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",33383351,34984298,35348138,29589921,33391853,36298778
 "36000","New York",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",125222876,140727165,154111360,159020339,171939084,182837150
 "36000","New York",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",540831389,530713440,537627761,551929426,571307152,588257732
 "36000","New York",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",320457394,303102463,311324666,326512378,331996887,338006063
 "36000","New York",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",220373995,227923076,226408022,225257913,239485629,250735403
 "36000","New York",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",209765864,218296815,229699344,219948234,235195392,245420829
 "36000","New York",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",140688856,144215603,149804067,147421985,159711013,164949639
 "36000","New York",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",28157366,29325560,30801374,30008064,33538473,35157549
 "36000","New York",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",40919642,44754960,49076944,42607544,42270791,45605153
 "36000","New York",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",149622930,155595581,161142791,154810370,160357999,165666916
 "36000","New York",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",34152314,34817228,35006366,32474162,33353413,34787637
 "36000","New York",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",115470615,120781641,126152767,122370860,127045696,130916729
 "36000","New York",2,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",71757612,77673867,78654251,49922246,65013869,74631419
 "36000","New York",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",26232244,27836527,28346807,18321656,23224568,29340149
 "36000","New York",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",45525368,49832195,50306352,31606220,41777671,45519086
 "36000","New York",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",32095158,33144802,32995368,29233791,29953271,30034246
 "36000","New York",2,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",163733483,174304412,175491882,168260774,171448484,170860769
 "36000","New York",2,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",3507577,3373875,3805276,3645157,3635112,3829918
 "36000","New York",2,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",149536531,151738219,152661195,142590503,140448793,134795804
 "36000","New York",2,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",55570143,57795410,58562645,56106990,58187093,58684591
 "36000","New York",2,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",194642468,208807955,226562564,226843301,242138008,251992873
 "36000","New York",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",126664679,125833727,130438214,120345202,124027779,118733258
 "36000","New York",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",1334402502,1365019471,1403811277,1361947751,1429109747,1474344122
 "36001","Albany, NY",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",31742890,31793879,32999927,32153712,34560195,35344278
 "36001","Albany, NY",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",24496638,24681332,25835322,25303916,26776392,27403079
 "36001","Albany, NY",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",11878,18531,26935,(D),28097,14241
 "36001","Albany, NY",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",54961,60016,71901,91337,89667,81143
 "36001","Albany, NY",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",771699,724027,626760,(D),798485,695011
 "36001","Albany, NY",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",980300,1028256,1151671,1054062,1097687,981695
 "36001","Albany, NY",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1332021,1319483,1430968,1567577,1661275,1537660
 "36001","Albany, NY",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",632085,631403,667335,794899,846089,755694
 "36001","Albany, NY",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",699936,688076,763766,771324,813755,780296
 "36001","Albany, NY",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1351830,1329674,1289992,1263953,1175790,1135633
 "36001","Albany, NY",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",1711596,1716893,1766609,1846978,2060948,1909990
 "36001","Albany, NY",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",843008,792591,822424,673454,626814,659826
 "36001","Albany, NY",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1389940,1419497,1554949,1652048,1877992,2017704
 "36001","Albany, NY",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",7704414,7726953,8432399,8244855,8610235,9230312
 "36001","Albany, NY",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",4913499,4732957,5332779,5346892,5470104,6004629
 "36001","Albany, NY",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",2790915,2997643,3099290,2896015,3138393,3223879
