GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",652187459,656212004,674123438,654586289,686206352,689681251
 "39000","Ohio",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",581511253,585712937,603140752,585512286,615829269,618082835
 "39000","Ohio",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3645648,4336572,3167863,4201944,4820870,4305172
 "39000","Ohio",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",4325604,4155499,5026507,6240165,4420335,3330342
 "39000","Ohio",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",10643514,10318598,10012086,10485082,10255535,10084466
 "39000","Ohio",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",25111079,25069911,25603832,25110903,25647187,23534508
 "39000","Ohio",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",102938680,104011444,103644972,96746918,103863574,103819747
 "39000","Ohio",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",59661022,57277281,57861368,52139887,54694257,57097623
 "39000","Ohio",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",43277658,46688683,45749923,44622355,49139794,47014147
 "39000","Ohio",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",40823185,40757984,40662858,41237477,40734012,38753014
 "39000","Ohio",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",41380386,41091568,41952127,42231980,41953497,40328115
 "39000","Ohio",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",21206088,21934394,22384251,22652279,23688346,21781162
 "39000","Ohio",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",16839925,17052680,18438837,17862471,19778568,21200171
 "39000","Ohio",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",138907411,138079359,148825415,145339172,153560960,156738734
 "39000","Ohio",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",64314440,62239919,72848872,70973786,75059604,75437005
 "39000","Ohio",3,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",74592971,75880161,75811463,74206747,78332995,81180830
 "39000","Ohio",3,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",74558110,76979036,80117932,79195863,86597111,91877550
 "39000","Ohio",3,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",33697450,35483993,37126346,36197528,40078955,43226989
 "39000","Ohio",3,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",20931003,21433466,22937254,24023758,25314475,26130480
 "39000","Ohio",3,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",19929657,20062417,20090956,19117571,21267415,22526016
 "39000","Ohio",3,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",63158290,64026943,65311297,63080675,64944989,67091770
 "39000","Ohio",3,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",5966021,5916967,5966665,5419936,5503131,5846133
 "39000","Ohio",3,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",57192269,58110632,59346203,57668424,59451362,61252590
 "39000","Ohio",3,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",23916558,23600091,23526084,18228159,22856917,24718129
 "39000","Ohio",3,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",7207761,7137801,6621612,4747516,6010752,7400861
 "39000","Ohio",3,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",16708797,16462400,16898580,13471753,16836611,17368546
 "39000","Ohio",3,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",14056773,14374635,14383400,13248642,13623687,13801392
