GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",192538613,196030507,199462114,190751694,193518049,191583048
 "40000","Oklahoma",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",162346346,165508195,168497711,159344494,161883984,159241260
 "40000","Oklahoma",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",2808600,2936249,2738016,2011468,2534048,1245387
 "40000","Oklahoma",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",23559793,23862309,25794412,22630111,16387037,14262351
 "40000","Oklahoma",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3935960,3827787,4184827,3815710,4104826,3711244
 "40000","Oklahoma",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",7165655,7218077,7346347,7196105,7287923,6586768
 "40000","Oklahoma",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",16541938,17724754,18445976,16084726,15409245,15911991
 "40000","Oklahoma",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",9848977,10871185,10762862,8960607,8678653,9329650
 "40000","Oklahoma",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",6692960,6865017,7675539,7150764,6754632,6619197
 "40000","Oklahoma",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",9695865,9718178,9660684,9361468,9239422,8861763
 "40000","Oklahoma",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",11583769,11980764,12326941,12573377,12647457,11991260
 "40000","Oklahoma",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",12720033,12549925,10384594,10365946,11554013,12271999
 "40000","Oklahoma",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",5774969,6132416,6380458,5825759,6314337,6298789
 "40000","Oklahoma",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",26754565,26671164,26805793,26856964,28833366,29998215
 "40000","Oklahoma",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",7669282,7268608,7220901,7033002,7892381,8056454
 "40000","Oklahoma",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",19085284,19411316,19596754,19840346,20952622,21960494
 "40000","Oklahoma",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",15994489,16850949,17742077,17104794,18639620,20172381
 "40000","Oklahoma",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",7931248,8342164,8777329,8199089,8820964,9256616
 "40000","Oklahoma",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",2273128,2369046,2797781,3088251,3419303,3939987
 "40000","Oklahoma",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",5790112,6139393,6181037,5860527,6449054,7052092
 "40000","Oklahoma",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",14999511,15140221,15563752,14997366,15920362,16780440
 "40000","Oklahoma",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1149754,1177527,1218164,1102507,1279833,1293689
 "40000","Oklahoma",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",13849757,13962598,14345374,13896143,14639300,15486639
 "40000","Oklahoma",6,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",6611341,6621783,6909881,5799215,7288726,7040664
 "40000","Oklahoma",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",1254873,1290859,1261980,985546,1199127,1239518
 "40000","Oklahoma",6,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",5356468,5331068,5646979,4811939,6086314,5803549
 "40000","Oklahoma",6,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",4199858,4317922,4289778,4009945,4169523,4234213
 "40000","Oklahoma",6,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",30192268,30521034,30961725,31284698,31545123,32317463
 "40000","Oklahoma",6,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",26368393,26787605,28557645,24575599,19096431,15783408
 "40000","Oklahoma",6,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",21279633,21696642,21976655,21914680,21868762,20834075
 "40000","Oklahoma",6,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",16655993,16377558,14557575,14183571,15662890,15969009
 "40000","Oklahoma",6,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",22316907,23858097,24827421,21901937,21674001,22183749
 "40000","Oklahoma",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",50075986,51698369,54322919,48157130,42337008,38091690
 "40000","Oklahoma",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",112270359,113791931,114131155,110623047,118572323,120888882
 "40001","Adair, OK",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",444597,475727,439728,393359,429844,429169
 "40001","Adair, OK",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",373185,401892,364464,318544,355880,352619
 "40001","Adair, OK",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",65923,(D),49911,6196,35671,39661
 "40001","Adair, OK",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",65,45,0,0,0,32
 "40001","Adair, OK",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",3398,3449,3734,(D),3301,1463
 "40001","Adair, OK",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",26556,(D),18320,15953,15302,15407
 "40001","Adair, OK",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",83828,104812,78250,76109,85082,93060
 "40001","Adair, OK",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",43869,65919,41641,34542,38628,38095
 "40001","Adair, OK",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",39959,38655,36805,41958,46892,56096
 "40001","Adair, OK",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",11733,11333,14521,(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",36429,38517,39286,42152,40404,30905
 "40001","Adair, OK",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),(D),16520,19235,18770
 "40001","Adair, OK",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",2557,2969,2113,2062,2184,2227
 "40001","Adair, OK",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",61527,68717,75577,68620,63968,(D)
 "40001","Adair, OK",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",10165,9557,8997,7735,9315,8392
 "40001","Adair, OK",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",51362,59230,66757,61063,54763,(D)
 "40001","Adair, OK",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",(D),(D),(D),16194,(D),18214
 "40001","Adair, OK",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",4237,(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",(D),9987,9632,11172,11317,12607
 "40001","Adair, OK",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",28987,27732,29724,25201,25140,24114
 "40001","Adair, OK",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1310,1384,(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",27677,26348,(D),(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",7156,6984,6773,7387,9865,8663
 "40001","Adair, OK",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",84,271,222,295,278,337
 "40001","Adair, OK",6,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",7072,6714,6552,7095,9581,8334
 "40001","Adair, OK",6,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",19577,20089,21124,17157,19083,19548
 "40001","Adair, OK",6,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",71413,73863,75145,74466,73823,76482
 "40001","Adair, OK",6,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",65988,(D),49912,6196,35672,39710
 "40001","Adair, OK",6,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",48162,49839,53902,(D),(D),(D)
 "40001","Adair, OK",6,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",(D),(D),(D),(D),22628,20269
 "40001","Adair, OK",6,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",86384,107784,80372,78179,87289,95339
 "40001","Adair, OK",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",176371,196979,146831,102710,140112,152698
 "40001","Adair, OK",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",196813,205024,216668,213838,214944,199304
 "40003","Alfalfa, OK",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",674017,478697,386638,401996,343682,300297
 "40003","Alfalfa, OK",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",630271,435706,343332,359674,303756,261402
 "40003","Alfalfa, OK",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",8209,24854,19819,35126,34882,5746
 "40003","Alfalfa, OK",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",529165,321165,234397,240986,177043,165297
 "40003","Alfalfa, OK",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",6545,5380,5496,5892,5586,5034
 "40003","Alfalfa, OK",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",8794,9005,7223,4588,4825,4927
 "40003","Alfalfa, OK",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",3043,3035,2931,3353,3623,3909
 "40003","Alfalfa, OK",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1166,1151,989,1061,944,974
 "40003","Alfalfa, OK",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1877,1883,1945,2300,2705,2967
 "40003","Alfalfa, OK",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",15288,14835,14476,13898,12724,11940
 "40003","Alfalfa, OK",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",7182,7244,7244,7085,6524,6151
 "40003","Alfalfa, OK",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "40003","Alfalfa, OK",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "40003","Alfalfa, OK",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",29550,29745,(D),29063,29154,28629
 "40003","Alfalfa, OK",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),13897
 "40003","Alfalfa, OK",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",(D),(D),17762,(D),(D),14693
 "40003","Alfalfa, OK",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",5714,6441,7570,6734,7490,7859
 "40003","Alfalfa, OK",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",2737,2447,2307,2331,2564,2295
 "40003","Alfalfa, OK",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "40003","Alfalfa, OK",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "40003","Alfalfa, OK",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",7313,6912,4531,4623,4774,4900
 "40003","Alfalfa, OK",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",38,13,35,39,46,46
 "40003","Alfalfa, OK",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",7275,6900,4495,4584,4727,4853
