GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",225534544,234308332,239910481,237670384,250099370,254708369
 "41000","Oregon",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",196397481,204395600,208792726,207573103,218951749,222590293
 "41000","Oregon",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3885258,4382710,4132586,4336924,3974748,3863940
 "41000","Oregon",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",262344,266323,246584,301434,320748,294361
 "41000","Oregon",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",2971990,2692863,2888200,3257113,2973580,2996781
 "41000","Oregon",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",10077288,10897457,11228799,11330704,11712647,11235546
 "41000","Oregon",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",31143714,31822590,31245399,32275379,32150234,32683107
 "41000","Oregon",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",24770169,25044006,24819728,25600943,25425742,26014914
 "41000","Oregon",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",6373546,6778564,6427762,6675747,6723960,6669184
 "41000","Oregon",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",12467920,12663816,12800064,13109025,13419688,12873578
 "41000","Oregon",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",12849536,13532358,14008966,13831475,13852109,13743627
 "41000","Oregon",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",6766657,6921940,7013738,6522693,7449493,7353645
 "41000","Oregon",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",8229416,8758539,9550623,10150852,12092746,13607173
 "41000","Oregon",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",43732820,45201007,45906257,45999619,47814821,47287226
 "41000","Oregon",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",10816622,10830022,10974765,11271162,11693592,10995741
 "41000","Oregon",8,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",32916198,34378690,34940119,34731497,36124785,36313649
 "41000","Oregon",8,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",27098374,29108006,30799532,31083171,35222473,36424010
 "41000","Oregon",8,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",13259342,14479780,15170555,14848607,16572232,17751820
 "41000","Oregon",8,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",7531017,7974626,8800009,9651619,11389200,10490345
 "41000","Oregon",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",6308015,6653021,6843641,6651865,7381833,8147249
