GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",754318029,763855357,772529454,736470575,764601590,772335937
 "42000","Pennsylvania",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",681400804,690933542,699548037,666584301,695258495,702262229
 "42000","Pennsylvania",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",3615061,3402286,3633825,3130062,3412531,3507178
 "42000","Pennsylvania",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",9862333,9805555,10469371,10140181,10102904,9265082
 "42000","Pennsylvania",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",12536306,12013001,11858022,12114257,11628054,10937111
 "42000","Pennsylvania",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",30059399,30425585,30636340,27863898,29241594,26501488
 "42000","Pennsylvania",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",86996041,85379324,87847231,84277981,84544221,85730091
 "42000","Pennsylvania",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",42628535,43278099,43693426,40069396,39007985,41090099
 "42000","Pennsylvania",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",44367505,42113003,44162872,44216298,45516052,44730752
 "42000","Pennsylvania",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",43340880,43049835,42332909,42043912,40833602,38187282
 "42000","Pennsylvania",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",40928001,42468067,43705017,42900455,42541534,41273903
 "42000","Pennsylvania",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",28254457,29607764,28656469,26958031,29302749,29053564
 "42000","Pennsylvania",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",46509531,46712514,46210432,43453379,47173129,48217984
 "42000","Pennsylvania",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",146472554,147297756,145794498,142102286,146568008,149575386
 "42000","Pennsylvania",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",51882382,52119292,52560792,49677116,50897925,51333278
 "42000","Pennsylvania",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",94590173,95179752,93209121,92426203,95678409,98267342
 "42000","Pennsylvania",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",98221327,102127941,106701463,102709519,114217227,121087198
 "42000","Pennsylvania",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",55584347,57731347,60526818,59084743,64932568,68954141
 "42000","Pennsylvania",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",23310327,24154566,25571919,24901445,29027575,30619644
 "42000","Pennsylvania",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",19326653,20240656,20621290,18790844,20467301,21718811
 "42000","Pennsylvania",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",91284317,94242259,96876716,94329071,96228077,99659322
 "42000","Pennsylvania",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",18100474,18662857,19076733,17803167,18099473,18883201
 "42000","Pennsylvania",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",73183843,75579518,77801477,76540513,78144687,80790512
 "42000","Pennsylvania",2,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",26403437,26952444,27510428,19503973,24498693,26175032
 "42000","Pennsylvania",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",8461469,8689086,8586548,5587818,6900522,7967416
 "42000","Pennsylvania",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",17941968,18263692,18919242,13905956,17582443,18234130
 "42000","Pennsylvania",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",16917161,17514895,17568798,15443308,16128714,16393085
 "42000","Pennsylvania",2,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",72917225,72925168,72993407,69888216,69465019,70200881
 "42000","Pennsylvania",2,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",13477394,13215263,14112423,13258561,13520761,12739604
 "42000","Pennsylvania",2,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",84268881,85505196,85980015,84895481,83335734,79444621
 "42000","Pennsylvania",2,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",40790762,41619631,40511968,39052122,40899016,39938942
 "42000","Pennsylvania",2,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",133505572,132070495,134097531,127798146,131580414,133745868
 "42000","Pennsylvania",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",130532834,129015087,132570733,125343877,127284329,124617637
 "42000","Pennsylvania",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",550867970,561951209,566999685,541235607,567910536,577911832
 "42001","Adams, PA",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",4038383,3939119,3856485,3657037,3773754,3691765
 "42001","Adams, PA",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",3628071,3523796,3434403,3247158,3364694,3281420
 "42001","Adams, PA",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",97405,43250,59978,28784,107862,60449
 "42001","Adams, PA",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",56279,54415,29404,19238,18353,16869
 "42001","Adams, PA",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",217030,213633,221113,245771,(D),208764
 "42001","Adams, PA",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",210006,199581,209906,197048,224840,191788
 "42001","Adams, PA",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1040035,951757,856773,796218,777958,787387
 "42001","Adams, PA",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",231145,240112,258649,234506,240646,228439
 "42001","Adams, PA",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",808890,711446,597029,560874,535970,559107
 "42001","Adams, PA",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",43208,45311,40568,42494,43498,44115
 "42001","Adams, PA",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",209876,214713,231653,232176,230157,220686
 "42001","Adams, PA",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",160155,158611,155291,146434,154988,145225
 "42001","Adams, PA",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",62662,55323,50094,48625,54500,55937
 "42001","Adams, PA",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",650523,673537,650098,637436,627387,629270
 "42001","Adams, PA",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",104805,96328,95948,90663,91789,86630
 "42001","Adams, PA",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",545717,577538,554337,547044,535808,543137
 "42001","Adams, PA",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",164705,172289,175306,178962,201755,215027
 "42001","Adams, PA",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",79277,83565,88340,88543,95842,107606
 "42001","Adams, PA",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",29484,31477,32574,38952,47279,49724
 "42001","Adams, PA",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",55944,57257,54471,52020,59511,58859
 "42001","Adams, PA",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",431217,439779,451273,435044,(D),439729
 "42001","Adams, PA",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",(D),(D),106695,100108,(D),(D)
 "42001","Adams, PA",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",(D),(D),344610,335002,(D),(D)
 "42001","Adams, PA",2,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",180755,189190,193341,139821,179146,181794
 "42001","Adams, PA",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",35047,34898,35663,25971,34653,38779
 "42001","Adams, PA",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",145708,154277,157663,113839,144481,143223
 "42001","Adams, PA",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",104213,110292,107649,95293,100260,100641
 "42001","Adams, PA",2,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",410312,415233,421827,409441,408901,410359
 "42001","Adams, PA",2,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",153684,98351,88577,47884,122196,74797
 "42001","Adams, PA",2,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",253084,260037,271912,274411,273374,264472
 "42001","Adams, PA",2,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",377185,372244,376356,391574,(D),353777
 "42001","Adams, PA",2,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",1102698,1007104,906878,844731,831694,842432
 "42001","Adams, PA",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",1403726,1250200,1156733,1044392,1129376,1047177
 "42001","Adams, PA",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",2224345,2272800,2275927,2200249,2234058,2232528
 "42003","Allegheny, PA",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",97885840,101063586,102877973,97781493,101532105,102595120
 "42003","Allegheny, PA",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",90705528,93870063,95663434,90840797,94564872,95611547
 "42003","Allegheny, PA",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",11424,11071,15561,12733,7262,5503
 "42003","Allegheny, PA",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",442809,466616,583708,620762,370714,273662
 "42003","Allegheny, PA",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",678387,686955,573321,613121,547584,474821
 "42003","Allegheny, PA",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",3451859,3457536,3574778,3159206,3184662,3083145
 "42003","Allegheny, PA",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",5930066,6298871,6089412,5253949,5004024,5157881
 "42003","Allegheny, PA",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",4150755,4348623,4267136,3929937,3770426,4065910
 "42003","Allegheny, PA",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1779311,1949608,1822359,1324388,1234102,1115163
 "42003","Allegheny, PA",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",6075337,6139894,6115230,6125057,6144711,5725606
 "42003","Allegheny, PA",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",6923389,7043545,7291718,7297100,7315391,7167076
 "42003","Allegheny, PA",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",2963277,4139482,3911797,3327105,3461162,3361742
 "42003","Allegheny, PA",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",5218388,5549915,6114390,6180840,7953271,8302919
 "42003","Allegheny, PA",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",21782638,21452942,22035149,21478564,21858081,21592632
 "42003","Allegheny, PA",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",10533744,10319913,10830978,10425223,10505709,9918451
 "42003","Allegheny, PA",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",11248894,11134261,11197144,11049386,11350430,11689469
 "42003","Allegheny, PA",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",17317308,17981132,18330087,17745494,19775088,21147647
 "42003","Allegheny, PA",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",9709683,10053359,10395711,10258550,10627786,11190348
 "42003","Allegheny, PA",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",5150984,5398075,5338115,5140271,6701339,7246084
 "42003","Allegheny, PA",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",2456641,2530320,2590903,2344253,2528790,2801149
 "42003","Allegheny, PA",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",13639698,14298047,14770788,14473998,14150505,14517698
 "42003","Allegheny, PA",2,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",3454663,3637617,3700512,3470894,3479898,3616712
 "42003","Allegheny, PA",2,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",10185035,10660338,11071042,11007127,10672460,10901879
 "42003","Allegheny, PA",2,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",4230196,4265898,4294487,2921079,3389133,3729955
 "42003","Allegheny, PA",2,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",1991400,1982387,1955923,1227015,1269567,1478889
 "42003","Allegheny, PA",2,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2238796,2283302,2337434,1690505,2108290,2246350
 "42003","Allegheny, PA",2,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",2040751,2091555,2014936,1749892,1797023,1817652
 "42003","Allegheny, PA",2,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",7180313,7194392,7216595,6940311,6975718,6993381
 "42003","Allegheny, PA",2,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",454233,477746,599265,632667,377233,278586
 "42003","Allegheny, PA",2,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",12998727,13183142,13400697,13415994,13453876,12891319
 "42003","Allegheny, PA",2,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",3641664,4825333,4484592,3935842,4004206,3829748
 "42003","Allegheny, PA",2,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",11148454,11848111,12179067,11393966,12843502,13333182
 "42003","Allegheny, PA",2,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",9836158,10235338,10267088,9030555,8571957,8482169
 "42003","Allegheny, PA",2,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",80869370,83634378,85397903,81795712,85967459,87116685
 "42005","Armstrong, PA",2,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",2285684,2271321,2209049,2055911,2020918,1914849
 "42005","Armstrong, PA",2,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",2058999,2052531,2001785,1860644,1827494,1728932
 "42005","Armstrong, PA",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",19924,2102,24139,25300,21182,11236
 "42005","Armstrong, PA",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",172576,180981,191291,183462,190615,199718
 "42005","Armstrong, PA",2,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",583653,533000,463886,339621,326372,245092
 "42005","Armstrong, PA",2,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",76025,80432,76352,69576,75219,70976
 "42005","Armstrong, PA",2,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",188418,187502,192295,187005,178838,168992
 "42005","Armstrong, PA",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",164482,164625,167501,163758,154494,146373
 "42005","Armstrong, PA",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",23935,22860,24802,23276,24354,22641
 "42005","Armstrong, PA",2,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",42851,45358,42617,47612,51648,50495
 "42005","Armstrong, PA",2,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",120565,121075,122104,121282,113358,107423
 "42005","Armstrong, PA",2,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",87281,93561,99363,102056,103862,97860
 "42005","Armstrong, PA",2,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",70364,61828,72298,68673,76721,90411
 "42005","Armstrong, PA",2,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",332364,371208,336626,356246,323747,317437
 "42005","Armstrong, PA",2,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",71838,69037,71165,64290,60711,59303
 "42005","Armstrong, PA",2,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",260526,302463,265346,292117,263148,258258
 "42005","Armstrong, PA",2,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",67923,71764,72870,66363,71390,81825
 "42005","Armstrong, PA",2,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",31991,34098,31795,29772,31418,34488
 "42005","Armstrong, PA",2,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",17810,19279,20372,20208,21169,23578
 "42005","Armstrong, PA",2,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",18123,18397,20688,16587,18900,23615
 "42005","Armstrong, PA",2,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",188737,193788,196493,196702,199049,200663
