GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "44000","Rhode Island",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",58771553,58740143,59866629,58155170,60777258,62190946
 "44000","Rhode Island",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",50664080,50672546,51786399,50335596,52761655,54023353
 "44000","Rhode Island",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",115985,112171,106610,108297,97007,100024
 "44000","Rhode Island",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",56588,43389,40449,45542,55715,58055
 "44000","Rhode Island",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",887115,896289,914622,983307,908836,952878
 "44000","Rhode Island",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",2117149,2247356,2322057,2185243,2240780,2088700
 "44000","Rhode Island",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",4696374,4894544,4676378,4831396,5018579,5083484
 "44000","Rhode Island",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",2913254,3049050,3155659,3080514,3354184,3451236
 "44000","Rhode Island",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1783120,1845557,1522018,1753231,1670733,1643131
 "44000","Rhode Island",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",3265698,3221115,3187346,3132729,3227245,3116126
 "44000","Rhode Island",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",3397170,3597318,3763070,3795011,3663736,3503224
 "44000","Rhode Island",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",1032748,1051699,1058232,937801,1014258,1059018
 "44000","Rhode Island",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",1404956,1397024,1543127,1524320,1709254,1845434
 "44000","Rhode Island",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",14138590,13252472,13861740,13826583,14123672,14645645
 "44000","Rhode Island",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",6070253,5550011,6176625,5751279,5701715,5510002
 "44000","Rhode Island",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",8068338,7705244,7677229,8074939,8425484,9154744
 "44000","Rhode Island",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",7508474,7806730,7761853,7865795,8804970,9243805
 "44000","Rhode Island",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",3483669,3652583,3782072,3738108,4263608,4649066
 "44000","Rhode Island",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",2221690,2237855,2047272,2257052,2529856,2465040
 "44000","Rhode Island",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",1803115,1915405,1925842,1877206,2023826,2125893
 "44000","Rhode Island",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",7841389,7928472,8168242,7719076,7899732,8224798
 "44000","Rhode Island",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",1903921,1956004,1974584,1818114,1840778,1948279
 "44000","Rhode Island",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",5937468,5972333,6193970,5901974,6060329,6277497
 "44000","Rhode Island",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",2900075,2921063,3080851,2281446,2917602,3102247
 "44000","Rhode Island",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",706904,652062,577856,370943,483579,574053
 "44000","Rhode Island",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",2193171,2268751,2501520,1909519,2432768,2529764
 "44000","Rhode Island",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",1301769,1316895,1307613,1147273,1205846,1235374
 "44000","Rhode Island",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",8107473,8067735,8081690,7821577,8022018,8174616
 "44000","Rhode Island",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",172573,155378,146858,153812,153512,158934
 "44000","Rhode Island",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",6662868,6816788,6944299,6920168,6881255,6609545
 "44000","Rhode Island",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",1919863,1947979,1972823,1920302,1921144,2009937
 "44000","Rhode Island",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",6101330,6292411,6213540,6352394,6716350,6904095
 "44000","Rhode Island",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",6986096,7297701,7150204,7165149,7405679,7310399
 "44000","Rhode Island",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",43677985,43375707,44635767,43171845,45355405,46713054
 "44001","Bristol, RI",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1802623,1800539,1797075,1685540,1866748,1949701
 "44001","Bristol, RI",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1593872,1587101,1584306,1478365,1671008,1749163
 "44001","Bristol, RI",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",(D),(D),(D),(D),1106,2026
 "44001","Bristol, RI",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",0,(D),0,0,(D),0
 "44001","Bristol, RI",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),371,95,0,413,585
 "44001","Bristol, RI",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",(D),(D),91038,85490,87938,(D)
 "44001","Bristol, RI",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",(D),(D),166102,(D),195490,(D)
 "44001","Bristol, RI",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",81421,(D),82112,81380,114808,(D)
 "44001","Bristol, RI",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",(D),97758,83995,(D),81001,83564
 "44001","Bristol, RI",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",(D),94741,97756,100856,101473,102162
 "44001","Bristol, RI",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",71646,76495,83807,71670,58269,56309
 "44001","Bristol, RI",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",(D),(D),(D),11477,(D),11240
 "44001","Bristol, RI",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",37726,37768,41779,41317,48422,58426
 "44001","Bristol, RI",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",551431,513248,503574,489046,594539,635575
 "44001","Bristol, RI",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",114961,99504,121250,115709,130474,118292
 "44001","Bristol, RI",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",436470,413901,381747,372801,463461,517493
 "44001","Bristol, RI",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",135943,140918,150302,148617,176677,212101
 "44001","Bristol, RI",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",95509,99770,107841,106347,121724,153311
 "44001","Bristol, RI",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",5820,6509,5930,6131,11244,7106
 "44001","Bristol, RI",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",34614,34645,36502,36129,43999,51450
 "44001","Bristol, RI",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",278969,284750,280715,241309,254372,272251
 "44001","Bristol, RI",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",151314,153987,152657,120524,136715,140802
 "44001","Bristol, RI",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",127655,130764,128054,120842,117673,131492
