GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1667313043,1746543257,1802912796,1772185609,1873473351,1924007472
 "48000","Texas",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1484755038,1563123622,1619143252,1585886050,1685834122,1732754963
 "48000","Texas",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",9894525,9819850,8768951,8725159,9793947,7017768
 "48000","Texas",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",122486799,131479861,158914232,152144205,126320226,113713403
 "48000","Texas",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",28206539,28798699,29245757,27504731,29110235,30077142
 "48000","Texas",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",88478080,87963012,90383450,87536636,88865961,83697711
 "48000","Texas",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",198838443,222511643,207410583,188670427,206485180,210094185
 "48000","Texas",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",98840185,108104297,104546091,95097578,99233394,106094704
 "48000","Texas",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",99998258,114293379,102967837,93707526,107352773,105233781
 "48000","Texas",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",132373699,136328692,138017887,141481723,137177414,137104226
 "48000","Texas",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",99986162,103849265,105412585,105019808,108793567,107952843
 "48000","Texas",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",64183277,65928387,65093113,59852384,67859543,70700688
 "48000","Texas",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",65222717,69365050,75841625,78317730,90224003,101879147
 "48000","Texas",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",267504957,281000369,291165074,316193884,347799925,367779887
 "48000","Texas",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",88248010,90065295,94076217,95998855,111218975,112766310
 "48000","Texas",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",179256947,191009444,197137251,220424061,236648102,255355736
 "48000","Texas",6,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",194838494,209624321,225257044,217131106,249035060,278131887
 "48000","Texas",6,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",116642955,125247148,137652279,131190877,149755891,168818170
 "48000","Texas",6,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",22297346,25217810,27379739,26948558,31856942,38568974
 "48000","Texas",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",55898193,59175329,60313604,59072463,67591614,71541541
 "48000","Texas",6,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",117208633,120072526,124569519,119534438,127289977,134515356
 "48000","Texas",6,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",12776166,13135848,13872395,12913034,13748988,14747486
 "48000","Texas",6,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",104432467,106936373,110692592,106626842,113546832,119768252
 "48000","Texas",6,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",60683481,60212299,62269907,48234246,58743726,63640647
 "48000","Texas",6,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",11793395,12236071,12837050,8702650,10140354,11261305
 "48000","Texas",6,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",48890086,47979607,49439565,39516103,48570578,52365040
 "48000","Texas",6,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",34849232,35954269,36779217,33158631,34631275,36443313
 "48000","Texas",6,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",182558005,183394429,183777578,185985100,187837287,191469337
 "48000","Texas",6,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",132381324,141359538,167984957,161299053,136983538,121730891
 "48000","Texas",6,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",232359861,240171177,243416385,246544357,246093180,245166213
 "48000","Texas",6,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",92389816,94726736,94333482,87342378,96932266,100728397
 "48000","Texas",6,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",264061160,291970483,282815914,266372301,295831579,309422456
 "48000","Texas",6,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",419697848,451818636,465731226,437230444,433808894,413636558
 "48000","Texas",6,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",1065057191,1111040912,1152996462,1145958822,1247877600,1320585478
 "48001","Anderson, TX",6,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1854000,1921111,1984764,1950822,2061471,2080081
 "48001","Anderson, TX",6,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1443682,1516956,1585189,1553435,1696907,1728484
 "48001","Anderson, TX",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",5085,7309,6178,5706,4481,4300
 "48001","Anderson, TX",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",97252,119539,119068,75271,81155,74874
 "48001","Anderson, TX",6,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",18325,20256,21543,22437,21661,16726
 "48001","Anderson, TX",6,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",62218,62207,60915,59193,58410,51017
 "48001","Anderson, TX",6,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",168144,188287,189318,186914,220776,236033
 "48001","Anderson, TX",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",44560,47601,41312,36729,46086,51423
 "48001","Anderson, TX",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",123584,140696,148011,150087,174700,184650
 "48001","Anderson, TX",6,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",79507,81645,89968,90287,85691,97911
 "48001","Anderson, TX",6,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",136998,140186,159259,159091,163549,150707
 "48001","Anderson, TX",6,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",206855,216165,205839,190772,196627,185469
 "48001","Anderson, TX",6,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",47600,59626,67285,78333,115220,133219
 "48001","Anderson, TX",6,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",256550,249201,273352,290919,309290,306755
 "48001","Anderson, TX",6,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",59434,57197,54547,49483,76876,63275
 "48001","Anderson, TX",6,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",197116,192037,219268,242288,232044,244530
