GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",172075043,182106012,192698684,194753700,209975165,213898311
 "49000","Utah",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",150926482,160846740,170911153,172821525,187801856,191032628
 "49000","Utah",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",859368,934412,971100,915383,800960,1051605
 "49000","Utah",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",3211667,3206839,3427814,3792952,3867743,3587343
 "49000","Utah",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",2347130,2485468,2740765,3545296,4056988,4324677
 "49000","Utah",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",11447229,12156120,12890808,14164225,15320126,14910666
 "49000","Utah",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",18035936,19628433,20803014,20613389,23083754,23059535
 "49000","Utah",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",11464372,12214996,12123414,12545330,13560820,13967556
 "49000","Utah",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",6571564,7405294,8642470,8009514,9454616,9097427
 "49000","Utah",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",8901638,9082336,9141342,9585333,9630237,9066664
 "49000","Utah",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",12871984,13664041,14203217,14665997,15050485,15079166
 "49000","Utah",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",6257628,6573632,6763098,6225279,6692244,7140825
 "49000","Utah",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",7828375,8391120,9829124,10558102,12390658,14138820
 "49000","Utah",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",38043652,40438747,43010547,42345753,45972939,43970106
 "49000","Utah",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",15374933,15807904,17607709,17679320,19424943,17457793
 "49000","Utah",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",22668719,24649416,25372308,24620454,26489941,26540959
 "49000","Utah",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",18142194,20196926,22156748,22828493,25254043,28209220
 "49000","Utah",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",10831838,12523505,14014646,14666816,16523264,18888675
 "49000","Utah",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",2280598,2400692,2525102,2674914,2866501,3178652
 "49000","Utah",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",5029758,5273527,5619010,5505001,5892737,6210383
 "49000","Utah",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",12239533,12869919,13460096,13351867,14326750,15266279
 "49000","Utah",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",2475965,2633925,2802326,2781750,2947624,3033213
 "49000","Utah",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",9763569,10235825,10656896,10569211,11379000,12235163
 "49000","Utah",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",6017389,6366021,6691189,5364324,6620498,7284548
