GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",32589227,32827757,33207568,32307106,33860799,34609392
 "50000","Vermont",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",27990847,28221952,28578661,27688634,29215773,29898965
 "50000","Vermont",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",421934,400396,476259,401304,372411,436786
 "50000","Vermont",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",175469,107170,94739,148689,124992,120153
 "50000","Vermont",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",611144,639300,614989,691256,669789,644884
 "50000","Vermont",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1195383,1162781,1147152,1077637,1141584,1050895
 "50000","Vermont",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",2939948,3089897,3027729,2991778,3171294,3096706
 "50000","Vermont",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",1856013,1981300,1866393,1797104,2024872,2075907
 "50000","Vermont",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1083935,1108549,1161382,1194600,1147535,1022034
 "50000","Vermont",1,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1617563,1628158,1659924,1681951,1625185,1530463
 "50000","Vermont",1,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2589038,2674883,2696240,2628978,2573518,2509245
 "50000","Vermont",1,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",559254,555857,556041,528263,556729,532071
 "50000","Vermont",1,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",832075,804747,906561,898934,1010890,1106690
 "50000","Vermont",1,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",6456969,6177404,6208985,6136120,6336256,6469954
 "50000","Vermont",1,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",1844240,1801266,1858744,1701614,1699577,1753656
 "50000","Vermont",1,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",4612729,4375468,4348367,4434345,4637259,4716533
 "50000","Vermont",1,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",3242206,3401713,3573374,3617746,4277768,4731064
 "50000","Vermont",1,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",2109929,2220712,2316651,2385992,2863122,3146742
 "50000","Vermont",1,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",259102,261363,307081,310921,349243,367480
 "50000","Vermont",1,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",873175,919527,950798,923869,1069521,1216408
 "50000","Vermont",1,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",4486468,4590383,4624472,4460682,4478696,4609371
 "50000","Vermont",1,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",947483,943506,912449,803563,765550,804148
 "50000","Vermont",1,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",3538985,3647005,3712648,3659074,3715924,3807811
 "50000","Vermont",1,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",2122880,2207508,2229235,1741566,2224946,2484093
 "50000","Vermont",1,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",342992,362035,353925,275952,381969,489429
 "50000","Vermont",1,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",1779887,1845514,1875130,1465466,1841834,1995604
 "50000","Vermont",1,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",740517,785482,780380,705357,741240,748570
 "50000","Vermont",1,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",4598380,4605951,4629403,4616129,4648289,4713891
 "50000","Vermont",1,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",597403,505993,567037,552330,499001,560056
 "50000","Vermont",1,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",4206600,4302679,4356339,4312420,4200410,4042303
 "50000","Vermont",1,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",1170398,1195099,1171123,1218356,1225398,1175899
 "50000","Vermont",1,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",3772023,3895358,3931475,3887768,4174714,4182551
 "50000","Vermont",1,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",4732734,4759170,4739591,4617078,4806329,4713056
 "50000","Vermont",1,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",23258112,23462687,23837877,23070716,24407854,25186014
 "50001","Addison, VT",1,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1642746,1664091,1681968,1585128,1679034,1724774
 "50001","Addison, VT",1,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",1496148,1516584,1537253,1439801,1537646,1580915
 "50001","Addison, VT",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",83195,68934,98313,93558,75684,93105
 "50001","Addison, VT",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",7516,6117,6156,8324,6685,6698
 "50001","Addison, VT",1,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",(D),(D),(D),(D),(D),(D)
 "50001","Addison, VT",1,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",82170,80273,81613,75530,70165,66845
 "50001","Addison, VT",1,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",205559,233842,235564,228626,284322,274234
 "50001","Addison, VT",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",119033,139577,134335,126250,173665,177440
 "50001","Addison, VT",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",86526,94258,101143,102123,111241,97540
