GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",527169356,561785734,588930437,590401007,630819770,641143568
 "53000","Washington",8,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",458357389,491700088,517757278,520424106,559751101,568509082
 "53000","Washington",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",7136693,7862072,7951237,8036015,6637898,6768702
 "53000","Washington",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",509019,556457,440253,392389,410706,397161
 "53000","Washington",8,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",4501003,4283509,4496621,4803560,4484129,4791543
 "53000","Washington",8,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",22953215,24997760,25111980,24496233,25857172,24226108
 "53000","Washington",8,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",62382381,64390980,67174223,54359417,55052611,54694065
 "53000","Washington",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",49873125,51356939,53383123,39013887,40525890,41677526
 "53000","Washington",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",12509256,13029538,13777339,15520054,14709831,13465563
 "53000","Washington",8,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",27657218,28426224,28991769,29197355,29339517,28147768
 "53000","Washington",8,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",48173226,53149697,56625122,61089441,60610052,36148602
 "53000","Washington",8,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",15413409,16012458,16341579,14239714,16084810,17037587
 "53000","Washington",8,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",61204334,69945812,84489879,102892674,116203489,128326902
 "53000","Washington",8,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",85191422,90504662,91584443,94725043,103319663,105610177
 "53000","Washington",8,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",19087941,19745685,20180002,22151805,23483566,22249046
