GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",321886779,328832367,333698626,322972686,334517321,335688474
 "55000","Wisconsin",3,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",287076413,293828988,298474454,288710664,299767228,300637652
 "55000","Wisconsin",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",4828140,5002731,4774094,5248732,4956736,5113899
 "55000","Wisconsin",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",648379,1014564,710815,510146,465900,609140
 "55000","Wisconsin",3,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",5474080,5052354,4904383,4939551,4338414,4383229
 "55000","Wisconsin",3,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",13297084,13728629,13905699,13699951,14133020,13121856
 "55000","Wisconsin",3,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",56187780,57075610,58340295,56023383,58921576,56965493
 "55000","Wisconsin",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",32951948,33232560,33501028,30195053,33390264,31706341
 "55000","Wisconsin",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",23235832,23843449,24844599,25864563,25565256,25289532
 "55000","Wisconsin",3,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",19831818,20337630,19305766,20185551,19877227,19101024
 "55000","Wisconsin",3,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",19349084,19975471,20202620,20163804,19838442,19381301
 "55000","Wisconsin",3,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",10250337,10252756,10183252,9843456,10586226,10176176
 "55000","Wisconsin",3,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",11042553,11449584,13083296,13191341,14479205,15902493
 "55000","Wisconsin",3,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",65524917,65638152,66132462,62805469,63957243,64703616
 "55000","Wisconsin",3,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",27450530,27327171,28270805,25924057,25760657,26083046
