GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",37620307,37977192,38558220,36181338,36929508,37294164
 "56000","Wyoming",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",31298478,31739987,32464831,30213401,30987102,31279933
 "56000","Wyoming",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",627682,705250,696862,665561,571351,608438
 "56000","Wyoming",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",6891107,6616351,6893640,6217403,5394099,5662437
 "56000","Wyoming",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",1044494,976132,969368,1006669,868455,830780
 "56000","Wyoming",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",1936448,1978720,2249495,2097135,2097780,1883244
 "56000","Wyoming",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",1986957,2252529,2749330,2190034,2540811,2453716
 "56000","Wyoming",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",495383,502408,559732,511474,540583,554943
 "56000","Wyoming",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",1491575,1746041,2180566,1661410,1984812,1891617
 "56000","Wyoming",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",1456063,1441423,1431339,1324957,1228075,1169419
 "56000","Wyoming",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",2167795,2177837,2259916,2172694,2156356,2110376
 "56000","Wyoming",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",3288762,3507528,3085530,2874196,3268449,3194242
 "56000","Wyoming",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",629362,656826,707379,674609,782165,848494
 "56000","Wyoming",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",5382151,5426206,5291971,5070111,5403591,5554170
 "56000","Wyoming",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",1060817,1071111,1057350,1052470,1254161,1239092
 "56000","Wyoming",7,CAGDP9,56,"53","   Real estate and rental and leasing ","Thousands of chained 2017 dollars",4321334,4355129,4234003,4015647,4143422,4312147
 "56000","Wyoming",7,CAGDP9,59,"54,55,56","  Professional and business services ","Thousands of chained 2017 dollars",1794357,1920425,1998882,1933207,2312553,2487229
 "56000","Wyoming",7,CAGDP9,60,"54","   Professional, scientific, and technical services ","Thousands of chained 2017 dollars",1131687,1220148,1321431,1268098,1408818,1566047
 "56000","Wyoming",7,CAGDP9,64,"55","   Management of companies and enterprises ","Thousands of chained 2017 dollars",121153,127172,125221,147303,345430,291882
 "56000","Wyoming",7,CAGDP9,65,"56","   Administrative and support and waste management and remediation services ","Thousands of chained 2017 dollars",541517,573091,552543,520312,578264,640988
 "56000","Wyoming",7,CAGDP9,68,"61,62","  Educational services, health care, and social assistance ","Thousands of chained 2017 dollars",1794895,1823493,1854062,1846103,1850141,1896073
 "56000","Wyoming",7,CAGDP9,69,"61","   Educational services ","Thousands of chained 2017 dollars",116554,115585,123623,117659,127624,145944
 "56000","Wyoming",7,CAGDP9,70,"62","   Health care and social assistance ","Thousands of chained 2017 dollars",1678341,1707923,1730364,1728477,1722343,1749645
 "56000","Wyoming",7,CAGDP9,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of chained 2017 dollars",1676584,1612889,1618338,1476585,1811253,1930547
 "56000","Wyoming",7,CAGDP9,76,"71","   Arts, entertainment, and recreation ","Thousands of chained 2017 dollars",277855,288617,281590,242803,295754,349480
 "56000","Wyoming",7,CAGDP9,79,"72","   Accommodation and food services ","Thousands of chained 2017 dollars",1398729,1324371,1336774,1234265,1516201,1582115
 "56000","Wyoming",7,CAGDP9,82,"81","  Other services (except government and government enterprises) ","Thousands of chained 2017 dollars",621822,650458,656333,593730,614360,615045
 "56000","Wyoming",7,CAGDP9,83,"92","Government and government enterprises ","Thousands of chained 2017 dollars",6321829,6236068,6091979,5952012,5935040,6010079
 "56000","Wyoming",7,CAGDP9,87,"11,21","Natural resources and mining ","Thousands of chained 2017 dollars",7518789,7314969,7586584,6881810,5963331,6268527
 "56000","Wyoming",7,CAGDP9,88,"42,44-45","Trade ","Thousands of chained 2017 dollars",3623858,3619086,3689279,3494730,3382667,3278679
 "56000","Wyoming",7,CAGDP9,89,"22,48-49","Transportation and utilities ","Thousands of chained 2017 dollars",4333256,4483560,4053198,3874779,4135044,4022590
 "56000","Wyoming",7,CAGDP9,90,"31-33,51","Manufacturing and information ","Thousands of chained 2017 dollars",2616319,2912554,3468433,2876779,3339300,3291154
 "56000","Wyoming",7,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2017 dollars",11442194,11550697,12612812,11201639,10635132,10667960
 "56000","Wyoming",7,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2017 dollars",19856283,20191725,19851900,18944506,20230065,20512580
 "56001","Albany, WY",7,CAGDP9,1,"...","All industry total ","Thousands of chained 2017 dollars",1577300,1551129,1507601,1528034,1559662,1615817
 "56001","Albany, WY",7,CAGDP9,2,"..."," Private industries ","Thousands of chained 2017 dollars",987579,1020870,994871,1008747,1048386,1097722
 "56001","Albany, WY",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of chained 2017 dollars",12089,5188,4728,5165,2625,5990
 "56001","Albany, WY",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of chained 2017 dollars",9726,8303,8337,7126,7598,14315
 "56001","Albany, WY",7,CAGDP9,10,"22","  Utilities ","Thousands of chained 2017 dollars",10195,(D),10483,12609,9755,9684
 "56001","Albany, WY",7,CAGDP9,11,"23","  Construction ","Thousands of chained 2017 dollars",106475,77346,69161,82278,81498,72243
 "56001","Albany, WY",7,CAGDP9,12,"31-33","  Manufacturing ","Thousands of chained 2017 dollars",44963,45123,44573,43154,44878,42652
 "56001","Albany, WY",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing ","Thousands of chained 2017 dollars",41317,41273,40607,39162,40280,37626
 "56001","Albany, WY",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of chained 2017 dollars",3646,3852,3971,3999,4616,5081
 "56001","Albany, WY",7,CAGDP9,34,"42","  Wholesale trade ","Thousands of chained 2017 dollars",31279,27762,27014,28358,27596,24947
 "56001","Albany, WY",7,CAGDP9,35,"44-45","  Retail trade ","Thousands of chained 2017 dollars",117146,111924,109862,105243,106556,105270
 "56001","Albany, WY",7,CAGDP9,36,"48-49","  Transportation and warehousing ","Thousands of chained 2017 dollars",22441,26121,16916,15741,19389,19464
 "56001","Albany, WY",7,CAGDP9,45,"51","  Information ","Thousands of chained 2017 dollars",21747,(D),28128,33567,44938,47397
 "56001","Albany, WY",7,CAGDP9,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of chained 2017 dollars",310585,340279,317213,318996,316598,336888
 "56001","Albany, WY",7,CAGDP9,51,"52","   Finance and insurance ","Thousands of chained 2017 dollars",65316,67114,66874,64931,65211,69729
