county_fips,NAME,variable,estimate
1001,"Autauga County, Alabama",female,28446
1001,"Autauga County, Alabama",age_median,38.2
1001,"Autauga County, Alabama",population,55380
1001,"Autauga County, Alabama",black,10538
1001,"Autauga County, Alabama",college_grad,6019
1001,"Autauga County, Alabama",median_household_income,58731
1003,"Baldwin County, Alabama",female,109334
1003,"Baldwin County, Alabama",age_median,43
1003,"Baldwin County, Alabama",population,212830
1003,"Baldwin County, Alabama",black,19718
1003,"Baldwin County, Alabama",college_grad,31801
1003,"Baldwin County, Alabama",median_household_income,58320
1005,"Barbour County, Alabama",female,11940
1005,"Barbour County, Alabama",age_median,40.4
1005,"Barbour County, Alabama",population,25361
1005,"Barbour County, Alabama",black,12066
1005,"Barbour County, Alabama",college_grad,1367
1005,"Barbour County, Alabama",median_household_income,32525
1007,"Bibb County, Alabama",female,10343
1007,"Bibb County, Alabama",age_median,40.9
1007,"Bibb County, Alabama",population,22493
1007,"Bibb County, Alabama",black,5014
1007,"Bibb County, Alabama",college_grad,1043
1007,"Bibb County, Alabama",median_household_income,47542
1009,"Blount County, Alabama",female,29186
1009,"Blount County, Alabama",age_median,40.7
1009,"Blount County, Alabama",population,57681
1009,"Blount County, Alabama",black,928
1009,"Blount County, Alabama",college_grad,3432
1009,"Blount County, Alabama",median_household_income,49358
1011,"Bullock County, Alabama",female,4677
1011,"Bullock County, Alabama",age_median,40.2
1011,"Bullock County, Alabama",population,10248
1011,"Bullock County, Alabama",black,7666
1011,"Bullock County, Alabama",college_grad,527
1011,"Bullock County, Alabama",median_household_income,37785
1013,"Butler County, Alabama",female,10747
1013,"Butler County, Alabama",age_median,40.8
1013,"Butler County, Alabama",population,19828
1013,"Butler County, Alabama",black,9001
1013,"Butler County, Alabama",college_grad,1343
1013,"Butler County, Alabama",median_household_income,40688
1015,"Calhoun County, Alabama",female,59477
1015,"Calhoun County, Alabama",age_median,39.6
1015,"Calhoun County, Alabama",population,114618
1015,"Calhoun County, Alabama",black,23830
1015,"Calhoun County, Alabama",college_grad,8311
1015,"Calhoun County, Alabama",median_household_income,47255
1017,"Chambers County, Alabama",female,17571
1017,"Chambers County, Alabama",age_median,42
1017,"Chambers County, Alabama",population,33660
1017,"Chambers County, Alabama",black,13316
1017,"Chambers County, Alabama",college_grad,2260
1017,"Chambers County, Alabama",median_household_income,42289
1019,"Cherokee County, Alabama",female,13126
1019,"Cherokee County, Alabama",age_median,46.5
1019,"Cherokee County, Alabama",population,25903
1019,"Cherokee County, Alabama",black,1191
1019,"Cherokee County, Alabama",college_grad,1254
1019,"Cherokee County, Alabama",median_household_income,41919
1021,"Chilton County, Alabama",female,22596
1021,"Chilton County, Alabama",age_median,38.7
1021,"Chilton County, Alabama",population,44055
1021,"Chilton County, Alabama",black,4041
1021,"Chilton County, Alabama",college_grad,2440
1021,"Chilton County, Alabama",median_household_income,47468
1023,"Choctaw County, Alabama",female,6780
1023,"Choctaw County, Alabama",age_median,46.3
1023,"Choctaw County, Alabama",population,12925
1023,"Choctaw County, Alabama",black,5500
1023,"Choctaw County, Alabama",college_grad,715
1023,"Choctaw County, Alabama",median_household_income,35892
1025,"Clarke County, Alabama",female,12725
1025,"Clarke County, Alabama",age_median,42.5
1025,"Clarke County, Alabama",population,24128
1025,"Clarke County, Alabama",black,11044
1025,"Clarke County, Alabama",college_grad,1214
1025,"Clarke County, Alabama",median_household_income,37404
1027,"Clay County, Alabama",female,6899
1027,"Clay County, Alabama",age_median,43.3
1027,"Clay County, Alabama",population,13337
1027,"Clay County, Alabama",black,2075
1027,"Clay County, Alabama",college_grad,562
1027,"Clay County, Alabama",median_household_income,40845
1029,"Cleburne County, Alabama",female,7607
1029,"Cleburne County, Alabama",age_median,43.1
1029,"Cleburne County, Alabama",population,14916
1029,"Cleburne County, Alabama",black,410
1029,"Cleburne County, Alabama",college_grad,1056
1029,"Cleburne County, Alabama",median_household_income,44741
1031,"Coffee County, Alabama",female,26183
1031,"Coffee County, Alabama",age_median,39.3
1031,"Coffee County, Alabama",population,51662
1031,"Coffee County, Alabama",black,8733
1031,"Coffee County, Alabama",college_grad,5394
1031,"Coffee County, Alabama",median_household_income,55637
1033,"Colbert County, Alabama",female,28487
1033,"Colbert County, Alabama",age_median,42.4
1033,"Colbert County, Alabama",population,54771
1033,"Colbert County, Alabama",black,8872
1033,"Colbert County, Alabama",college_grad,4492
1033,"Colbert County, Alabama",median_household_income,48065
1035,"Conecuh County, Alabama",female,6316
1035,"Conecuh County, Alabama",age_median,44.8
1035,"Conecuh County, Alabama",population,12394
1035,"Conecuh County, Alabama",black,5919
1035,"Conecuh County, Alabama",college_grad,724
1035,"Conecuh County, Alabama",median_household_income,37837
1037,"Coosa County, Alabama",female,5295
1037,"Coosa County, Alabama",age_median,48.4
1037,"Coosa County, Alabama",population,10757
1037,"Coosa County, Alabama",black,3615
1037,"Coosa County, Alabama",college_grad,709
1037,"Coosa County, Alabama",median_household_income,38990
1039,"Covington County, Alabama",female,19214
1039,"Covington County, Alabama",age_median,43.3
1039,"Covington County, Alabama",population,37200
1039,"Covington County, Alabama",black,5018
1039,"Covington County, Alabama",college_grad,2599
1039,"Covington County, Alabama",median_household_income,42189
1041,"Crenshaw County, Alabama",female,7096
1041,"Crenshaw County, Alabama",age_median,41.7
1041,"Crenshaw County, Alabama",population,13844
1041,"Crenshaw County, Alabama",black,3228
1041,"Crenshaw County, Alabama",college_grad,1234
1041,"Crenshaw County, Alabama",median_household_income,43163
1043,"Cullman County, Alabama",female,42094
1043,"Cullman County, Alabama",age_median,40.8
1043,"Cullman County, Alabama",population,82853
1043,"Cullman County, Alabama",black,1073
1043,"Cullman County, Alabama",college_grad,5121
1043,"Cullman County, Alabama",median_household_income,44918
1045,"Dale County, Alabama",female,24976
1045,"Dale County, Alabama",age_median,37.3
1045,"Dale County, Alabama",population,49277
1045,"Dale County, Alabama",black,10000
1045,"Dale County, Alabama",college_grad,4047
1045,"Dale County, Alabama",median_household_income,47214
1047,"Dallas County, Alabama",female,21110
1047,"Dallas County, Alabama",age_median,39.6
1047,"Dallas County, Alabama",population,39149
1047,"Dallas County, Alabama",black,27693
1047,"Dallas County, Alabama",college_grad,2305
1047,"Dallas County, Alabama",median_household_income,33845
1049,"DeKalb County, Alabama",female,35992
1049,"DeKalb County, Alabama",age_median,39.5
1049,"DeKalb County, Alabama",population,71310
1049,"DeKalb County, Alabama",black,1039
1049,"DeKalb County, Alabama",college_grad,3727
1049,"DeKalb County, Alabama",median_household_income,40440
1051,"Elmore County, Alabama",female,41918
1051,"Elmore County, Alabama",age_median,38.7
1051,"Elmore County, Alabama",population,81144
1051,"Elmore County, Alabama",black,17449
1051,"Elmore County, Alabama",college_grad,9143
1051,"Elmore County, Alabama",median_household_income,60891
1053,"Escambia County, Alabama",female,18201
1053,"Escambia County, Alabama",age_median,40
1053,"Escambia County, Alabama",population,37057
1053,"Escambia County, Alabama",black,11878
1053,"Escambia County, Alabama",college_grad,2112
1053,"Escambia County, Alabama",median_household_income,36275
1055,"Etowah County, Alabama",female,53184
1055,"Etowah County, Alabama",age_median,41.4
1055,"Etowah County, Alabama",population,102748
1055,"Etowah County, Alabama",black,16330
1055,"Etowah County, Alabama",college_grad,7899
1055,"Etowah County, Alabama",median_household_income,44637
1057,"Fayette County, Alabama",female,8356
1057,"Fayette County, Alabama",age_median,43.7
1057,"Fayette County, Alabama",population,16494
1057,"Fayette County, Alabama",black,1948
1057,"Fayette County, Alabama",college_grad,1062
1057,"Fayette County, Alabama",median_household_income,39856
1059,"Franklin County, Alabama",female,15790
1059,"Franklin County, Alabama",age_median,38.6
1059,"Franklin County, Alabama",population,31466
1059,"Franklin County, Alabama",black,1385
1059,"Franklin County, Alabama",college_grad,1819
1059,"Franklin County, Alabama",median_household_income,43514
1061,"Geneva County, Alabama",female,13582
1061,"Geneva County, Alabama",age_median,43.2
1061,"Geneva County, Alabama",population,26417
1061,"Geneva County, Alabama",black,2538
1061,"Geneva County, Alabama",college_grad,1419
1061,"Geneva County, Alabama",median_household_income,41732
1063,"Greene County, Alabama",female,4478
1063,"Greene County, Alabama",age_median,40.9
1063,"Greene County, Alabama",population,8324
1063,"Greene County, Alabama",black,6618
1063,"Greene County, Alabama",college_grad,353
1063,"Greene County, Alabama",median_household_income,24145
1065,"Hale County, Alabama",female,7774
1065,"Hale County, Alabama",age_median,40.5
1065,"Hale County, Alabama",population,14809
1065,"Hale County, Alabama",black,8796
1065,"Hale County, Alabama",college_grad,925
